ID,Name,Purpose,Alpha Acid Low,Alpha Acid High,Beta Acid Low,Beta Acid High,Co-Humulone Low,Co-Humulone High,Country,Storability,Total Oil Composition,Myrcene Oil Low (mL/100g),Myrcene Oil High (mL/100g),Humulene Oil Low,Humulene Oil High,Caryophyllene Oil Low,Caryophyllene Oil High,Farnesene Oil Low,Farnesene Oil High,Linalool Oil Low,Linalool Oil High,Polyphenols Oil Low,Polyphenols Oil High,Substitutes,Style Guide,Also Known As,Characteristics,Description,Flavors
b7047c2c-a0be-4ea8-a739-93431038b9c8,Bramling,,,,,,,,,,,,,,,,,,,,,,,,,,,Bramling was a popular and prolific hop in England around the turn of the 20th century and it is known to have been widely cultivated by 1865 for use in golden and rye ales primarily. But its increasingly low yield has caused it to fall out of favor. It is grown in British Columbia for Canadian breweries desiring aroma hops. Its origin is unknown. Its profile is of very low alpha acids and moderately low cohumulone. It is said to have a pleasant European aroma profile.,
23d470c6-949e-4b0f-8daf-e48eb0a8b9d9,Bramling Cross,,6,7,2.2,2.8,,,,,0.7 - 1,34,38,,,,,,,,,,,,,,,Bramling Cross is a rather rare breed and is mostly available in the UK. First harvested in 1927 at Wye College its lineage is a cross between Golding and a wild Manitoban (Canadian) hop. It is considered well suited to cask conditioned recipes as well as Christmas and fruit beers.,"Chrysanthemum, Bitter grapefruit, Caramel, Gooseberry, Vanilla"
238c5720-7cd3-45d6-8a48-fe7b833bfb91,Bravo,Bittering,17,,3,5,29,34,US,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.6,2.4,25,50,18,20,10,12,,,,,0%-1%,"Columbus, Zeus, Apollo, Magnum, Nugget",,"Spicy, earthy, and lightly floral aroma","Bravo’s high alpha content is largely attributable to its parent variety, Zeus. It’s bittering quality is considered smooth and in addition features light floral aromas and subtle flavors of orange and stone fruit making it highly desirable for use in many different ale styles.",
9eff0dea-6b6c-4b46-854b-88772cdc92ad,Brewer’s Gold,,4.5,6.5,2.5,3.5,,,,,0.8 - 1.8,40,50,,,,,,,,,,,,,,,"Brewer’s Gold hops were selected by Ernest Stanley Salmon at Wye College in England in 1919 and were the result of the open pollination of a wild hop sourced from Morden, Manitoba. Despite its initial popularity, the advent of super-alpha hop varieties in the 1980’s rendered Brewer’s Gold largely redundant from a commercial perspective.","Lemon, Redcurrant, Melissa, Spices"
0a6abb37-c825-4df8-b222-4c0fd6fa2124,Brewer’s Gold (US),Bittering,13.1,,3.7,6.8,41,,US,Poor,,1.8,,40,,35,,35,,,,,,Trace,"Bullion, Cascade, Galena, Northern Brewer, Northdown",,,"Sister to Bullion, US-grown Brewer’s Gold is a cultivar of the original English variety, Brewer’s Gold. Despite having been developed in England, its origin is undoubtedly North American having been initially derived from a wild hop sourced from Canada’s Pembina Valley in Manitoba. The American version is naturally similar to the original but contains higher alpha acids on average.",
87dc4eb7-ca0f-4fc4-8bab-bc7975db537c,Buket,,,,,,,,,,,,,,,,,,,,,,,,,,,Buket is a 2nd generation Fuggle and offspring of Northern Brewer. It was first bred in the Zalec region of Slovenia in the mid 1970’s alongside Bobek and Blisk. Inspiration for all three of these hops was down to attempts by researchers to create both high alpha and good aroma in one cultivar. It has not been used to any great extent commercially since its creation.,
ed53c8e8-fdb6-4672-807e-69e15e7564e3,Bullion,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sister selection to Brewer’s Gold, Bullion was first bred in 1919 at Wye College, England and originates from a wild hop cutting sourced from Manitoba, Canada. It was officially released in 1938.",
df09125d-c33a-4799-8e0f-a1352c343ee9,Bullion 10A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Though technically still Bullion, Bullion 10A is a heat-treated and meristem-tip cultured version of the original English variety. Developed by the USDA and released in 1972, it was retired from production in the US in 1985 along with the original Bullion following the introduction of super-alpha varieties.",
99aeb287-15d0-4fd6-8f4d-c7b58c81bb5f,Buzz Bullets,,,,,,,,,,,,,,,,,,,,,,,,,,,Buzz Bullets is a proprietary blend created by Yakima Valley Hops. It is said to have a clean bitterness and impart some floral and citrus notes.,
cd2f2333-0c87-45af-a8fc-6df2c36a6466,Calicross,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Zealand’s Calicross emerged in the 1960’s and by-and-large disappeared by the 1980’s. Born out of a dire need for disease resistant varieties, Calicross was created as a cross between Fuggle and Late Cluster – the later being the crop decimated in the late 1940’s by Black Root Rot.",
f6883209-e219-4a82-a313-bc5dc342da62,Caliente,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caliente means “hot” in Spanish. That is, temperature hot and not spicy hot. It isn’t clear exactly why this particular variety was named that but it appears to be reasonably well received by the craft brew market featuring in quite a few commercial brews to date. There is some difference of opinion on it’s exact tasting notes but it has been said to impart flavors of citrus, peach, pine and even cherry along with distinct aromas of stone fruit and mandarin. Subtle aromas of peach have also been documented.",
bd5b3f71-f864-476b-925d-53a5bc276da7,California Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generally considered to be indistinguishable from other Cluster varieties, California Cluster is a true dual use hop. Used prolifically by US brewers in the early-to-mid 1900’s, Clusters were widely available and cheap – providing a generic but pleasant bitterness and flavor.",
3d74c590-98b4-4903-ac27-1eed4924995b,Calypso,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calypso is a Yakima Valley bred, dual-purpose diploid hop with Hopsteiner lineage on both sides. Despite its aroma-focused origins, it boasts a high alpha acid percentage. In addition to this, Calypso features crisp, fruity aromas and flavors that exhibit elements of apple, pear and stone fruit brightened with hints of lime citrus. It is marvellously complex with an almost understated earthy, tea-like note.",
fb84c981-921c-4614-96c8-fce9e9a46aef,Canadian Redvine,Aroma,,,5,6,47,,Canada,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),,11.2,,70,,2,,2,,,,,,4%-7%,"Newport, Magnum, Galena",,"Mild cherry flavor, grapefruit peel aroma","Canadian Redvine, with its dense and profuse rhizomes, high vigor, excellent yield and disease resistance makes it seem like an interesting prospect but with such a high cohumulone content and low alphas, it is not widely used. It is said to impart mild flavors of cherry, berries, pine and even citrus.",
f7427d49-9285-4c18-92cc-f68a6e8466f7,Canterbury Whitebine,,,,,,,,,,,,,,,,,,,,,,,,,,,"Well over 200 years old, Canterbury Whitebine is the cultivar from which the first Goldings were cloned in 1790. Around this time, Whitebine was grown prolifically in Farnham, Canterbury and in Hampshire. Limited information can be found on it except that in its wild state, it gave rise to several different varieties, each suited to be grown in various regions of the UK. Cobb hops are an example and were selected from a field of Canterbury Whitebine in 1881. Mathon hops have also been stated to share Canterbury Whitebine’s “botanical” character. Anecdotally, it is said to impart a delicate and pleasant flavor.",
5ff020a4-ea06-4957-80a2-d44321e55592,Callista,,2,5,5,10,,,,,1.4 - 2.1,54,63.5,,,,,,,,,4.1,6.2,,,,,,"Strawberry, Pear, Caramel, Passion fruit, Orange"
9690bd93-6019-425a-88cf-89d7baef6156,Cascade (Argentina),,,,,,,,,,,,,,,,,,,,,,,,,,,"Unlike the American Cascade, the Argentine Cascade has a mellow character with notes of lemongrass, pepper and spice. It is not considered interchangeable with the American Cascade, which has a very different profile. It is a fine aroma and finishing hop, excellent for wheat beers, blondes and has been suggested as being especially suited to lightly bittering a cream ale. Argentinian Cascade is often compared to Hallertau or Tettnanger.",
baabd348-d3f2-48b4-9b71-aeae516c7f5e,Cascade (Australia),Aroma,7,,5,7,33,40,Australia,,,0.8,1.3,40,60,40,60,3,9,,,,,5%-9%,"Hallertau, East Kent Golding",,Same as Cascade (US) but with notes of grapefruit,"Differing from other Cascades in its oil balance, Australian Cascade is predominantly produced in Tasmania. Descended from Fuggle, Serebrianka and wild Native American hops, when grown in Australia, it features all the characteristic citrusy, spicy, floral notes of American Cascade but with an additional delicate essence of grapefruit.",
1abb994f-949e-4f36-8eba-7e011050e6fe,Cascade (New Zealand),,,,,,,,,,,,,,,,,,,,,,,,,,,"New Zealand Cascade features largely the same pleasant and distinctive ‘Cascade’ characteristics enjoyed by its US twin but are higher in alpha acids. Some dispute this comparison however, noting that while its characteristics are similar, New Zealand grown Cascade is more subdued in both flavor and aroma. Original Cascade was developed from English variety Fuggle and the Russian variety, Serebrianka.",
c92bb64d-b790-4715-a2c2-939e92e14b0f,Cascade (US),,4.5,7,4.8,7,,,,,0.7 - 1.4,45,60,,,,,,,,,4.5,4.9,,,,,"Pioneered in the 1950’s by Jack Horner and his team at Oregon State University, Cascade hops have since gone on to become one of the most popular American hops of all time. Released in 1972, Cascade now represents around 10% of all hops grown in the United States.","Strawberry, Citrus, Blackberry, Lychee, Toffee"
e896e7b0-72c9-4012-8143-c658104bbe11,Cashmere,"Bittering, Aroma",7.7,9.1,3.3,7.1,22,24,US,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),1.2 - 1.4,1.2,1.4,39,42,26,29,12,13,,,,,1%,,,"Smooth bitterness, herbal aroma, flavors of lemon, lime and melon","Developed by Washington State University and released in 2013, Cashmere is the result of a marriage of Cascade and Northern Brewer. Fortuitously, it features alpha acids higher than that of Cascade.",
a1ceaa0e-6b97-4b74-b9cc-17330ffaa243,Cekin,,,,,,,,,,,,,,,,,,,,,,,,,,,"Like its sibling Cicero, Dr Dragica Kralj at the Hop Research Institute in Zalec, Slovenia originally selected Cekin in the 1980’s. It is a cross between Aurora and a Yugoslav male. It is not currently grown in large quantities commercially due to a lack of interest from breweries. Its vigor and yield are great in Slovenia but to date it has not proven itself in Corvallis test plots in the US. It is said to have a pleasing, distinctive and continental aroma comparable to Styrian Golding.",
5e0ad246-7a13-4484-b09e-f5c2e4ecd72f,Celeia,Aroma,3,6.5,3,4,25,,Slovenia,Retains 56% alpha acid after 6 months storage at 20ºC (68ºF),1.5 - 3.6,26,40,49.5,,17.6,,7.2,,0.6,1.2,,,5.6%,"Saaz, Bobek, Styrian Golding",,Floral and citrus aroma,"Celeia is the triploid offspring of Styrian Golding, Aurora and a Slovenian wild hop. It features an excellently balanced profile all around and very good storage stability. A versatile hop, it has seen widespread use in Lagers, Pilsners, English-style ales and ESBs. It loves deep clay soil and requires a large planting distance.","Lemon tea, Thyme, Peppermint, Lime"
c7b1b6bd-940f-4834-b95f-db205422cc1f,Centennial,"Bittering, Aroma",9.5,11.5,3.5,4.5,28,30,US,Retains 60%-65% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.5,2.5,45,55,10,18,5,8,,,,,0%-1%,"Chinook, Galena, Nugget, Zeus, Columbus, Cascade (US)",Super Cascade,Earthy and floral with an element of citrus,"Centennial owes its existence to a mix of Brewer’s Gold, Fuggle, East Kent Golding and Bavarian hops. Developed in 1974 and released in 1990, Centennial was pioneered by Charles (Chuck) Zimmerman and S.T. Kenny at Washington State University. It is at times referred to as super Cascade because of its similar citric characteristic. Centennial is a much-celebrated hop in its versatility with its depth of bitterness and forward aroma — two characteristics that balance each other beautifully.","Aniseed, Citrus, Floral"
0e5137b6-01a4-4b94-916e-889345ff4551,Cerera,"Bittering, Aroma",6,,4,4.5,25,,Slovenia,Retains 49% alpha acid after 6 months storage at 20ºC (68ºF),,1.54,,58,,13.2,,6,,,,,,3%,,,Saaz-like aroma,"Cerera, sister to Celeia, has a pleasing continental aroma similar to Saaz. Developed in Slovenia in the 1980’s, it hails from Styrian Golding and a Yugoslav male and is classified as a seedless Super Styrian triploid variety. Poor storage stability has made Cerera a poor candidate for widespread commercial production.",
a804ae47-b831-42f3-ab4c-da208dea64a8,Challenger,"Bittering, Aroma",9,,3.2,4.5,20,25,UK,Retains 70%-85% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1,1.7,30,42,25,32,8,10,,,,,1%-3%,"Perle (US), Northern Brewer, Admiral",Wye Challenger,,"Released to the public in 1972, Challenger hops were developed at Wye College from varieties Northern Brewer and German Zattler. It accounted for a significant percentage of the hops grown in the UK during the 1980’s and 1990’s.",
202cb407-9be9-47f6-a29c-19f0b3ee700f,Chelan,Bittering,12,14.5,8.5,11.5,33,35,US,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),1.5 - 1.9,1.5,1.9,45,55,12,15,9,12,,,,,1%,"Galena, Nugget",,"Strong, brutish bitterness","Chelan is a privately patented bittering hop and daughter to Galena. Developed by John I. Haas, Inc. and grown exclusively in Washington State, it was released in 1994 and has found popular use in male styles of ales – particularly American style ales.","Strawberry, Yoghurt, Cream"
4579fbef-fc7e-4a24-9b76-ad4c500b3b1c,Chinook,"Bittering, Aroma",12,14,3,4,29,34,,Retains 68%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.5,2.7,35,40,18,25,9,11,,,,,0%-1%,"Galena, Eroica, Nugget, Bullion, Columbus, Northern Brewer, Target",,Bouquet of pine and spice,"Chinook hops are suitable for any stage of the boil. They’re not only a natural for American-style Pale Ales and IPAs, but they also find their way into seasonal ales, barley wine and some porters and stouts. The variety is a cross between Petham Golding and a USDA male and features a pine-like, spicy bouquet with robust flavors of grapefruit.","Red Berries, Fennel, Basil, Elderberry, Lychee"
55bc57d8-b3a3-4a87-bdc1-44fb71f6f9db,Cicero,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sister to Cekin, Cicero is a dual use hop with a Styrian-type aroma bred from Aurora, a Yugoslav tetraploid male and a USDA tetraploid male. Developed in Slovenia in the 1980’s, Cicero possesses very high vigor and yield potential in home region but has not tested well in the US.",
8fb8cd70-1cb7-4228-9ee7-924a167647e6,Citra®,,11,13,3.5,4.5,,,,,2.2 - 2.8,60,65,,,,,,,1,2,4.5,5.5,,,,,"American aroma hop Citra was created by John I. Haas, Inc. and Select Botanicals Group joint venture, the Hop Breeding Company. It was released to the brewing world in 2008. Now one of the most coveted high-impact aroma hops in the US, particularly among craft brewers, it boasts a complex lineage that includes the likes of Hallertau Mittelfrüh (father), Tettnanger (US), Brewer’s Gold and East Kent Golding.","Jasmine, Spicy, Gooseberry, Lychee, Geranium"
c62597a7-9bb9-43ba-be86-a7c1c9943e26,Cluster (AUS),,,,,,,,,,,,,,,,,,,,,,,,,,,"Though its official lineage is vague, Australian Cluster is a dual-use hop thought to be of Dutch, English and/or American ancestry. Australian Cluster, grown by HPA is strongly resinous but yields a balanced bitterness with a notable herbal character. Australian’s, particularly those in Queensland, might recognize Australian-grown Cluster as the aroma variety in XXXX Bitter.",
