ID,Name,Producer,Group,Type,Standard (ASBC/EBC/ION),Moisture (%),"Extract, F.G. dry (%)",Extract (L/KG),Fine-coarse difference (EBC),Potential (SG),Color (EBC),Diastatic power (ºWK),Protein Total (%),Soluble protein (%),Total Nitrogen (%),Soluble Nitrogen (mg/100g),Max in Batch (%),FAN (mg/g),Alpha Amylase (Dry min),Beta Glucans (mg/l),Saccharification time (min),Viscosity (mPa.s),DMS-P,Kolbach Index,Friability (%),Wort pH,Country,Notes,
b1202511-8cbb-4cad-ab8b-64f554a04e8b,Terroir Paulista IAC-600 Black Rice Malt,Atelier Do Malte,specialty,grain,EBC,6,74,,,,0,120,9,,1.44,,40,,,0,,,,,,,Brazil,"Black rice malt is a novelty at Atelier do Malte, which, in partnership with the producers of Alto do Marins, has been developing rice malt options to supply microbrewers and homemade brewers with gluten-free malt options and other national products for whom has creativity and likes news. The rice has the highest gelatinization temperature, and a test of the best brewing ramp is recommended to obtain a good enzymatic power and greater extract. Rice has extract and enzymatic power slightly below traditional barley, behaving like a caramelized malt in this regard . ",
8d79ae29-5917-463a-be1c-004dcb9bd0b2,White Rice Malt TERROIR PAULISTA,Atelier Do Malte,specialty,grain,EBC,7,62,,,,5,,10,,1.6,405,80,125,,0.2,50,,,46,,,Brazil,"WHITE RICE MALT is a novelty from Atelier Do Malte. We have been developing malt options to supply microbrewers and home-made adventurers with new options of GLUTEN-FREE MALT and different NATIONAL products for those with creativity and looking for novelties. A disadvantage of working with uncooked rice as an adjunct to beer is its high gelatinization temperature, making it difficult to break down starch in sugars, generating a low extract, and also the lack of enzymes to guarantee the breakdown of numerous substances in rice and needing a separate decoction process. However, we offer you RICE MALT. During the malting process, several substances break down, such as proteins, beta glucans and polysaccharides, as well as the production and release of enzymes that will break these substances evenly during mashing. For this reason, RICE MALT has a lower gelatinization temperature and has enzymes that will assist in the production of a must suitable for the growth of yeast and the production of your beer, which can be called gluten-free beer.",
2185ef3d-f80c-4b96-afd3-ab4a17a3f4d9,Light Wheat Malt,Atelier Do Malte,base,grain,EBC,6,82.1,,,,6,105,13.5,6,2.16,,100,,,,,1.9,,,,,Brazil,"Because it has a slightly higher percentage of protein than barley, wheat malt is famous for leaving the characteristic of greater turbidity in beer, but this characteristic is very appreciated in Weiss and Wit beers.     In order to maintain a light color and with a high level of enzymes, light wheat malt does not force its modification and is taken care of during drying and roasting so that the curing temperature is sufficient to eliminate DMS precursors and inactivate oxidative enzymes. and for the development of flavor without, however, compromising the proteolytic and amylolytic enzymes of the malt.  ",
e80444df-be89-48d0-8b1e-a6ad52359f4f,Munich Wheat Malt,Atelier Do Malte,specialty,grain,EBC,6,82,,,,25,,13.5,6,2.16,,30,,,,,1.9,,,,,Brazil,"For having a slightly higher percentage of protein than barley, wheat malt is famous for leaving the characteristic of greater turbidity in beer, but this characteristic is very appreciated in some beers for increasing the retention of the foam and the body of the beer.     For the development of color, Munich wheat malt forces its modification (higher moisture in the maceration and germination time). At the beginning of drying, it is stewed to produce free amino acids that will facilitate the browning reactions. Care is taken during drying and roasting so that the curing temperature is sufficient to eliminate DMS precursors, inactivate oxidative enzymes and to develop the desired color and flavor.   ",
24b62b3f-dd39-42de-a184-6f5e7b3765e6,Pilsener Malt,Avangard,base,grain,EBC,4.5,81,,,,4,220,11,4.6,1.76,730,,120,,300,15,1.6,,,80,5.8,Germany,,
cec70596-4611-4ae7-919f-6acb3938caba,Pilsener Malt 6 row winter,Avangard,base,grain,EBC,4.5,80,,,,4,250,11.2,4.7,1.792,750,,120,,300,15,1.6,,,80,5.8,Germany,,
48698319-6a56-4941-94b8-728021ff1f9b,Pilsener Malt 2 row winter,Avangard,base,grain,EBC,4.5,79,,,,4,300,11.5,4.9,1.84,780,,120,,350,15,1.6,,,78,5.8,Germany,,
fac7686c-36d4-4965-92e5-f88359fe4466,Pale Ale Malt,Avangard,base,grain,EBC,4.5,80,,,,8,200,11.5,4.8,1.84,770,,120,,300,15,1.6,,,80,5.8,Germany,,
8c403b2b-fbe5-4d54-bed6-7299bb8c3033,Vienna Malt,Avangard,base,grain,EBC,4.5,80,,,,12,200,11.5,4.7,1.84,750,,120,,350,20,1.65,,,78,5.8,Germany,,
a508de0f-2134-45c1-b0c7-b225417a16af,Munich Malt Light,Avangard,base,grain,EBC,4.5,80.5,,,,22,200,11,4.7,1.76,750,,120,,350,20,1.65,,,78,5.5,Germany,,
879f378b-8632-4a85-8e05-84cf0205f369,Munich Malt Dark,Avangard,base,grain,EBC,4.5,80.5,,,,32,200,11,4.7,1.76,750,,120,,350,20,1.65,,,78,5.5,Germany,,
2046e589-d692-4153-8657-a7ecc76792c1,Light Caramel Malt,Avangard,caramel,grain,EBC,5,78,,,,25,,11.5,,1.84,,,120,,,30,,,,,5.5,Germany,,
7f67321a-1b52-44af-a84a-ed175aee2420,Medium Caramel Malt,Avangard,caramel,grain,EBC,5,78,,,,40,,11.5,,1.84,,,120,,,30,,,,,5.5,Germany,,
bf58f862-f9de-4c69-8618-caef5a061696,Dark Caramel Malt,Avangard,caramel,grain,EBC,5,78,,,,65,,11.5,,1.84,,,,,,30,,,,,5.5,Germany,,
55e8be5e-4e1f-4ed9-9611-ae21e8cc4b1e,Wheat Malt,Avangard,base,grain,EBC,5,83,,,,5,,13.5,4.9,2.16,780,,90,,,20,,,,,5.8,Germany,,
f809e3d8-08f6-4f15-948e-0d3289de2520,Lager Malt,Bairds Malts,base,grain,EBC,4.5,80.08,,,,4,215,10.6,,1.696,,100,,,,,,,40,,,UK,European style pilsener malt used for brewing premium lagers.  Imparts light golden colour and sweet wort flavours.,
5be12765-818a-4e91-ada5-2ba5576cbc5d,Pale Ale Malt,Bairds Malts,base,grain,EBC,4.5,81.5,,,,7,215,10.3,,1.648,,100,,,,,,,42.5,,,UK,Can be used in pale ale beers or even Porters and Stouts. Imparts a golden colour and rich malty flavour notes.,
9098c4e3-8593-48eb-8088-7738e47b6b4f,Pale Ale Low Colour Malt,Bairds Malts,base,grain,EBC,4.5,81.5,,,,4,140,10.3,,1.648,,100,,,,,,,39,,,UK,Can be used in pale ale beers or even porters and stouts. Imparts a golden colour and rich malty flavour notes.,
3006259e-d66c-4c37-9123-e9532bef27f7,Winter Pale Ale Malt,Bairds Malts,base,grain,EBC,4,81.5,,,,4,140,9.7,,1.552,,100,,,,,,,42.5,,,UK,Can be used in pale ale beers or even porters and stouts. Imparts a golden colour and rich malty flavour notes.,
aec829a1-e48c-4dad-95ec-0e61e9565002,Winter Pale Ale Low Colour Malt,Bairds Malts,base,grain,EBC,4,81.5,,,,4,140,9.7,,1.552,,100,,,,,,,42.5,,,UK,Can be used in pale ale beers or even porters and stouts. Imparts a golden colour and rich malty flavour notes.,
06c63cfe-788f-4e21-98c3-570a8ea5ec61,Maris Otter Pale Ale Malt,Bairds Malts,base,grain,EBC,4,81.5,,,,7,140,10,,1.6,,100,,,,,,,42.5,,,UK,"Best Ale Type Beers, Imparts sweet, complex biscuit type notes to Best Ale type beers.",
ca0e15f3-7e17-44d3-a1b5-63a722ddb4ee,Maris Otter Low Colour Malt,Bairds Malts,base,grain,EBC,4.5,81.5,,,,4.5,140,10,,1.6,,100,,,,,,,42.5,,,UK,"Best Ale Type Beers, Imparts sweet, complex biscuit type notes to Best Ale type beers.",
b98f5063-1a28-497a-9b52-2c301c366ae4,Scottish Golden Promise Malt,Bairds Malts,base,grain,EBC,4.5,79.5,,,,4.5,215,10.3,,1.648,,100,,,,,,,37,,,UK,"Perfect for IPAs, Scotch and English ales, Imparts light golden colour and sweet wort flavours.",
7d5224ea-fab3-4546-9286-1a626e7ecb65,Scottish Ale Malt,Bairds Malts,base,grain,EBC,4,81.5,,,,4.5,140,9.7,,1.552,,100,,,,,,,42.5,,,UK,Can be used in pale ale beers or even porters and stouts. Imparts light golden colour and sweet wort flavours.,
1f08c2d2-4c83-417f-bf2c-be50485f56af,Vienna Malt,Bairds Malts,roasted,grain,EBC,3.5,80.05,,,,10,145,11.3,,1.808,,15,,,,,,,43,,,UK,Used for making dark lager beer of the Vienna or Märzen style. Provides sweet worts and light golden to orange hues.,
cbf3bdba-418d-4d0e-ba52-10cb3bbc21c3,Munich Malt,Bairds Malts,roasted,grain,EBC,3.5,80,,,,15,120,11.3,,1.808,,15,,,,,,,42,,,UK,Used in the production of dark Dunkel lagers. Provides sweet worts and light golden to orange hues.,
e596f82f-3655-444d-a03e-4c8237150e23,Hi-Dry Malt,Bairds Malts,roasted,grain,EBC,4.5,80,,,,50,120,11,,1.76,,15,,,,,,,42,,,UK,"Perfect for a bock beer, Bready and Malty in flavour.",
2d791cd1-6d24-44b1-aebe-25b4520c17d7,Greenwich Crystal Malt,Bairds Malts,caramel,grain,EBC,4.5,78,,,,160,,,,,,10,,,,,,,,,,UK,"Best Ale Type Beers, A complex range of sweet caramel, toffee flavours and enhanced mouthfeel.",
03b479eb-550d-4d60-a5f5-b07e3aaa2fae,1823 London Lager Malt,Bairds Malts,specialty,grain,EBC,4.5,80.8,,,,4,245,10.6,,1.696,,100,,,,,,,40,,,UK,"Lager or low coloured ales, Provides a malty and honeyed flavour.",
dd90a63a-00e7-4a86-9232-c9577d525574,Maris Otter Finest Ale Malt,Bairds Malts,specialty,grain,EBC,4,82,,,,7,165,9.7,,1.552,,100,,,,,,,42.5,,,UK,"Best Ale type beers,  Imparts sweet, complex biscuit type notes to Best Ale type beers.",
afaea6a6-aa52-4668-a9db-827cc33f6f29,Maris Otter Crystal Malt,Bairds Malts,specialty,grain,EBC,4.5,78,,,,160,,,,,,10,,,,,,,,,,UK,"Best Ale Type Beers, Excentuated biscuity notes with very sweet honey and caramel flavours yet and a slightly bitter finish.",
8cabf294-0079-43df-854f-e38d1699bbbe,Pale Malt,Barrett Burston Malting,base,grain,EBC,4.8,80,,,,4.5,230,,,1.84,,,,,,,,,42.5,,,Australia,,
cad08fc6-401b-4d2c-9dc5-8fd71e82f11d,Ale Malt,Barrett Burston Malting,base,grain,EBC,4.5,80,,,,7,200,,,1.84,,,,,,,,,43,,,Australia,,
03bd7731-adf3-4e6c-a0c4-130cc1b500b2,Wheat Malt,Barrett Burston Malting,base,grain,EBC,5.5,77,,,,5.5,250,,,1.85,,,,,,,,,41,,,Australia,,
79af0529-1732-4822-a84c-06ea378c9707,Vienna Malt,Barrett Burston Malting,base,grain,EBC,,,,,,12,,,,,,,,,,,,,,,,Australia,,
ecd6d385-2215-49c7-8190-7a3d98a0a488,Munich Malt,Barrett Burston Malting,base,grain,EBC,,,,,,20,,,,,,,,,,,,,,,,Australia,,
8a6b363b-0a9e-429d-a43e-446001329a19,Dark Munich Malt,Barrett Burston Malting,base,grain,EBC,4.5,,,,,28,,,,,,,,,,,,,,,,Australia,,
54805891-55c7-46c9-bd67-305a96b2c9ae,Caramalt Malt,Barrett Burston Malting,specialty,grain,EBC,5,75,,,,60,,,,,,,,,,,,,,,,Australia,,
fbcb9589-bb52-4abd-be4d-30d9e6f3e722,Medium Crystal Malt,Barrett Burston Malting,specialty,grain,EBC,,,,,,180,,,,,,,,,,,,,,,,Australia,,
95f46c38-a0f0-4d13-9cf2-61c21f93bad6,Dark Crystal Malt,Barrett Burston Malting,specialty,grain,EBC,,,,,,280,,,,,,,,,,,,,,,,Australia,,
f96c0643-1aba-44b5-8a12-d956a0bed6b9,Amber Malt,Barrett Burston Malting,roasted,grain,EBC,,,,,,80,,,,,,,,,,,,,,,,Australia,,
67f5de67-a2dc-4f85-8b76-6f0add82854b,Chocolate Malt,Barrett Burston Malting,roasted,grain,EBC,,,,,,500,,,,,,,,,,,,,,,,Australia,,
eaa85462-224b-439d-a0c4-a2526373b6ed,Roasted Malt,Barrett Burston Malting,roasted,grain,EBC,,,,,,1150,,,,,,,,,,,,,,,,Australia,,
30745a32-3829-49c1-bde4-3986535d3273,Roasted Barley,Barrett Burston Malting,roasted,grain,EBC,,,,,,1000,,,,,,,,,,,,,,,,Australia,,
4a989711-1adb-4920-8b23-75626f204ac0,Dark Roast Malt,Barrett Burston Malting,roasted,grain,EBC,,,,,,1400,,,,,,,,,,,,,,,,Australia,,
8744b9f9-b4f3-438d-a5da-519f8f0ed318,BEST Heidelberg,BestMalz,base,grain,EBC,4.9,80.5,,2,,2.9,250,11.5,,1.84,750,100,,,,,1.6,,39.5,,5.9,Germany,"Base malt for Pale Ales, Pale Premium Pilsner and Pilsner beers, ‘light’ beers, as emzyme-rich and light-colored basis for all beer styles.",
d89c06f8-829f-4d88-b74b-27acd02285c1,BEST Pilsen Malt ,BestMalz,base,grain,EBC,4.9,80.5,,2,,4.9,250,11.5,,1.84,780,100,,,,,1.6,,40.5,,5.9,Germany,"Base malt for all beers, Premium Pilsner ans Pilsner beers, Export, Kölsch, Lager, Helles, light beers, and as a base malt for almost all beer styles.",
22d4e60d-f88f-4ae3-b7de-fbb167403f85,BEST Organic Pilsen Malt,BestMalz,base,grain,EBC,4.9,80.5,,2,,4.9,250,11.5,,1.84,780,100,,,,,1.6,,40.5,,5.9,Germany,"As a base for all organic beer styles, like organic lager, organic ale, organic Kölsch and many more.",
53bf33c0-7a45-4ff1-a825-0eebe367273d,BEST Pale Ale,BestMalz,base,grain,EBC,4.9,80.5,,2,,7,250,11.5,,1.84,780,100,,,,,1.6,,40.5,,5.9,Germany,"For Pale Ale, Kölsch, Pilsner and all other beer styles.",
8475f419-03f6-40aa-bd47-bb416a70ed71,BEST Vienna,BestMalz,base,grain,EBC,4.9,80.5,,2,,10,250,12,,1.92,800,100,,,,,1.6,,41,,5.85,Germany,"For Export, Märzen, Porter and all other beer styles.",
d29e162f-5e25-4571-9a24-7ad29012b5bf,BEST Munich ,BestMalz,base,grain,EBC,4.9,80.5,,2.5,,20,230,12,,1.92,800,100,,,,,1.6,,41.5,,5.85,Germany,"Base malt for all dark beers, Export, Märzen, Alt, wheat beers, Bocks and Brown Ale.",
5e83e259-420c-4bb1-bb6b-b2704a95a790,BEST Munich Dark ,BestMalz,base,grain,EBC,4.9,80,,2.5,,35,230,12,,1.92,800,100,,,,,1.6,,47,,5.65,Germany,"For all darker beer styles like Alt, brown ale, dark ale, dark wheat, stout, dark lager, amber and bock beer.",
c720ca64-5ce2-4316-bab4-4e86d18093f1,BEST Melanoidin Light,BestMalz,base,grain,EBC,4.9,75,,,,60,,12,,1.92,,70,,,,,,,,,5.4,Germany,"For all dark and rust-colored beers, Alt, Märzen, Bock beer, wheat beer and many other beer styles.",
04915f14-0238-4e5f-bb61-97b1d45b5f4d,BEST Melanoidin,BestMalz,base,grain,EBC,4.9,75,,,,80,,12,,1.92,,50,,,,,,,,,5.4,Germany,"For dark and rust-colored beers, Alt, Märzen, Bock beer, wheat beer and all other beer styles.",
8ae3eef5-e299-4743-bd7d-d8db2050b2f2,BEST Caramel® Pils,BestMalz,specialty,grain,EBC,4.5,75,,,,7,,12,,1.92,,50,,,,,,,,,5.4,Germany,"For Pilsner, Helles, Lager, Kölsch, Export, wheat beer, light beers, reduced-alcohol beer, all pale beer styles.",
37829300-f504-4739-83c7-6f26965836bd,BEST Caramel® Hell,BestMalz,specialty,grain,EBC,4.5,75,,,,40,,12,,1.92,,50,,,,,,,,,5.4,Germany,"For Helles, Märzen, wheat beers, light beers, reduced-alcohol and non-alcoholic beers, all golden to amber-colored beer styles.",
7e108a2f-1c91-4bd0-b485-8294ca5e67e0,BEST Caramel® Aromatic,BestMalz,specialty,grain,EBC,4.5,75,,,,60,,12,,1.92,,50,,,,,,,,,5.4,Germany,"For wheat beers, Bocks, Alt, Porter, Amber and darker beer styles.",
884d6c6b-94c1-4729-8f71-aa2bdbecc635,BEST Caramel® Munich I ,BestMalz,specialty,grain,EBC,4.5,75,,,,100,,12,,1.92,,50,,,,,,,,,5.4,Germany,"For Alt, Märzen, wheat beers, Bock beer and all dark beer styles.",
cf04c453-0a36-417f-84de-39d84069b824,BEST Caramel® Munich II,BestMalz,specialty,grain,EBC,4.5,75,,,,130,,12,,1.92,,50,,,,,,,,,5.4,Germany,"For Märzen, wheat beer, Bock and all dark beer styles.",
3276d657-8229-408b-b687-bccb3e542ab3,BEST Caramel® Munich III ,BestMalz,specialty,grain,EBC,4.5,75,,,,200,,12,,1.92,,40,,,,,,,,,5.4,Germany,"For Märzen, wheat beers, Bock and all beer styles with a strong, dark color.",
6b3a3fa9-91b7-4b0b-a8c6-b4831a3dfc2d,BEST Caramel® Amber,BestMalz,specialty,grain,EBC,4.5,75,,,,80,,12,,1.92,,50,,,,,,,,,5.4,Germany,"For Märzen, wheat beers, Bock, Amber Ale, Amber Lager, amber-colored and dark beer styles.",
298a696a-c34b-42fe-b86c-1e167fcd0394,BEST Red X®,BestMalz,base,grain,EBC,4.9,79,,,,32,200,12,,1.92,750,100,,,,,,,,,5.75,Germany,"Base malt for all red and red-tinted beers, amber-colored beers, red-tinted wheat beers, red-tinted Alt, Red Ales, dark beer with a red tinge and many others.",
23b8ef1e-2e05-40a2-b68d-22a69c130659,BEST Special X®,BestMalz,specialty,grain,EBC,4.5,75,,,,400,,,,,,20,,,,,,,,,5.8,Germany,"For Alt, Bocks, Schwarzbier, malt beers, Belgian styles like Abbey and Trappist beer, British styles like Amber beers, Dark Ales, Porters and Stouts, and as an ingredient for all craft beers.",
5be111e4-0d04-4d93-89c2-bdf8b243415e,BEST Biscuit Mal,BestMalz,roasted,grain,EBC,4.5,75,,,,50,,12,,1.92,,50,,,,,,,,,,Germany,"For all special beer styles, English Ales, Brown Ale, Porter, Belgian Abbey beers.",
3c8aa2f4-b7bc-431f-b89c-787dc1fe1f79,BEST Chocolate,BestMalz,roasted,grain,EBC,4.5,75,,,,1000,,,,,,10,,,,,,,,,,Germany,"For all beer styles to intensify the color, for Schwarzbier, Bocks, Alt, Brown Ale, Porter, brown beers, Stouts, and all other dark to black beer styles with a mild roasted or coffee note.",
b0c6d114-3236-45a5-ad33-43c08306c9d5,BEST Black Malt ,BestMalz,roasted,grain,EBC,4.5,65,,,,1200,,,,,,5,,,,,,,,,,Germany,"For all beer styles to intensify the color, for Schwarzbier, Bock, Alt, Brown Ale, Porter and all other very dark to black beer styles with a mild roast or coffee note.",
5d918f28-1e4f-4819-86fe-e88a2978b935,BEST Black Malt eXtra ,BestMalz,roasted,grain,EBC,4.5,65,,,,1400,,,,,,5,,,,,,,,,,Germany,"For all beer styles to intensify the color, for Schwarzbier, Bock, Alt, Brown Ale, Porter and all other very dark to deep black beer styles with an intensive roast note.",
575821d6-318c-4c98-8cbb-43e459c2a7bf,BEST Roasted Barley,BestMalz,roasted,grain,EBC,5.5,,,,,1400,,,,,,5,,,,,,,,,,Germany,"Indispensable for typical dark and bitter Stouts (Irish and Scottish) and to intensify the color and flavor of Schwarzbier, dark beers, dark Bocks, Brown Ales, Porter and many others.",
75d06984-06f1-4ee8-9cc4-0abc09493499,BEST Chit Malt i,BestMalz,specialty,grain,EBC,4.9,50,,,,3,250,12,,1.92,,15,,,,,,,34,,,Germany,For all beer styles to optimize foam stability.,
976bc6d2-0e9b-4c24-bdfe-3b2b65b64625,BEST Acidulated Malt ,BestMalz,specialty,grain,EBC,8,76,,,,8,,12,,1.92,,5,,,,,,,,,4,Germany,For all beers styles for optimizing the pH levels in the mash.,
6a1f24b4-3aa6-401a-a867-e83a0b0f7d74,BEST Smoked ,BestMalz,smoked,grain,EBC,5.5,77,,,,8,250,13,,2.08,,100,,,,,,,,,5.85,Germany,"Base malt for all beers with a smoky note as well as for Lager, wheat beers, Porter, Bocks and distillates (whisky).",
4c419450-c6b0-4fd7-a4c0-6f39ec48f708,BEST Heidelberg Wheat Malt ,BestMalz,base,grain,EBC,5.5,82,,2.5,,3.5,250,13,,2.08,850,75,,,,,,,40.5,,5.85,Germany,"For pale wheat beers, pale top-fermented beers, pale reduced-alcohol and non-alcoholic beers.",
9fe64747-888f-4586-8c6d-f4cca0381428,BEST Wheat Malt ,BestMalz,base,grain,EBC,5.5,82,,2.5,,6,250,13.5,,2.16,850,60,,,,,,,41,,5.85,Germany,"Base malt for all wheat beers, top-fermented beers, Kölsch, reduced-alcohol and non-alcoholic beers and many more.",
58b3e964-2c74-4fb6-bcac-54fd52e640f8,BEST Wheat Malt Dark,BestMalz,base,grain,EBC,5.5,82,,2.5,,20,250,14,,2.24,850,60,,,,,,,42,,5.85,Germany,"For dark wheat beers, dark top-fermented beers, dark reduced-alcohol and non-alcoholic beers and many more.",
669e55bc-3552-40f8-b1ad-a409e426d82e,BEST Spelt Malt,BestMalz,base,grain,EBC,5.5,82,,3,,6,,14,,2.24,,60,,,,,,,38.5,,5.85,Germany,"For all spelt beers, other top-fermented beers, multi-grain beers, wheat beers and for improving the stability of the foam and cloudiness.",
