ID,Name,Producer,Product ID,Type,Form,Species,End pH Min,End pH Max,Flavor/Aroma,Pitch,Pitch Temp ©,Tolerance (%),Attenuation Min (%),Attenuation Max (%),Flocculation (%),Temperature Min ©,Temperature Max ©,Best For,Description
ea8d05d3-958e-473c-b63e-fc6fc98d463a,Sour Solera Blend,Bootleg Biology,BBXSS,Mixed-culture,Liquid,"Saccharomyces, Brettanomyces, Lactobacillus, Pediococcus & Wilds",3.2,3.5,"Funky, Sour",Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,96,100,Medium,18,24,Sours,"Sour Solera Blend contains a unique and complex collection of Saccharomyces, Brettanomyces, Lactobacillus, Pediococcus and other funky yeast and souring bacteria pulled from an active fermentation. This blend can sour in a matter of months at 70ºF or higher, or if you prefer a more prolonged fermentation, use large amounts of aged hops and/or ferment and hold at temperatures below 70ºF. This blend is available seasonally, and will always be changing and evolving due to the nature of solera fermentations. Warning: No two Sour Solera Blend releases will be the same, and neither will their fermentations."
b1d9e166-cd63-40ca-b6dc-f60dafed8560,Sour Weapon L,Bootleg Biology,BBXSWL,Bacteria,Liquid,Lactobacillus plantarum,3,3.5,"Lemon, Yogurt, Lactic Acid Sourness",Directly pitchable into 5 gallons of wort,,7.69231,0,,Low,29,37,Sours,"If you're looking to drop the pH of wort as quickly and low as possible, Sour Weapon L is your go to Lacto blend. At 98F, we've had trial batches drop the pH of wort to 3.0 after just 24 hours. When pitched at 84F, pH should reach 3.5 in 24 hours. This is the ideal bacteria blend to use for acidifying wort for quick/kettle sours, and is also very effective when co-pitched with a yeast strain. As with any Lactobacillus culture, we recommend only using in wort with zero IBUs as even small amounts of hops may prevent significant souring."
9ee275e4-735d-4248-ae41-7a5154ca3b61,Sour Weapon P,Bootleg Biology,BBX0089,Bacteria,Liquid,Pediococcus pentosaceus,3.1,3.5,Lactic Acid Sourness,Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,0,,Low,29,37,Sours,"We're excited to release our first 100% Lactic Acid Bacteria souring blend! We chose this specific blend because of its ability to sour quickly and cleanly at a range of temperatures, and due to its mild hop tolerance. While not “yeast”, this culture blend of two unique strains of Pediococcus pentosaceus is part of our LYP collection because it was sourced entirely from the wild: an anaerobic malt starter, and flowers from Murfreesboro, TN given to us by our good friend Art Whitaker. Perfect for quickly acidifying unhopped wort for kettle/”quick” sours or co-pitching with yeast."
ab7da1f7-042c-4893-8881-eea14e267636,The Mad Fermentationist Saison Blend,Bootleg Biology,BBXMAD1,Mixed-culture,Liquid,"Saccharomyces, Brettanomyces and Lactobacillus",3.5,3.8,"Citrus, Pepper, Clove, Cherry, Stone Fruit",Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,90,100,Medium,20,27,Saison,"Fine tuned over two years, this blend morphed over time to become an elegant powerhouse of classic Saison spice, stone-fruit Brett, lactic tartness and a dry but well-rounded body. The final master blend consists of Saison yeast, wild Saccharomyces, rare Brettanomyces and an opportunistic Lactobacillus culture. At temperatures as low as 68F (20C) The Mad Fermentationist Saison Blend exhibits a relatively clean primary fermentation profile and high attenuation. Traditional saison temperatures (around 80F/27C) bring out citrus and elevated phenols (pepper and clove). The Brett character shifts depending on wort composition, as maltier beers emphasize cherry and stone fruit qualities. This blend integrates beautifully with fruity and tropical hops, with the unique Brett culture keeping hop aromatics crisp and bright for an extended time. For best results use a highly fermentable wort, dry hopping during the tail of active fermentation, and carbonating naturally."
0db287b6-83a4-4940-b244-b831faf4b442,Berliner blend ,East Coast Yeast,ECY06,Hybrid,Liquid,"Saccharomyces cerevisiae, Lactobacillus",,,"Dry, Sourness, leather, fruit, and cherry stone", 1 - 1.5 million cells / ml wort / 15 degree starting Plato ,,,,,,,,Berliner Weiss,Kolsch yeast and Lactobacillus blend.
b08ae165-b1e8-494d-86ca-ddd96d288b47,BugFarm,East Coast Yeast,ECY01,Hybrid,Liquid,"S. cerevisae, S. fermentati, Brettanomyces, Lactobacillus, Pediococcus",,,"Sour, Citrus",,,,,,,,,"The functional properties of brewing yeasts have a direct impact on the performance, quality and economics of the resulting beer.","A large complex blend of cultures to emulate sour beers such as lambic style ales. Over time displays a citrus sourness and large barnyard profile. Contains yeast (S. cerevisiae and S. fermentati), several Brettanomyces strains, Lactobacillus and Pediococcus. The BugFarm blend changes every year and can be added at any stage of fermentation."
d4dd3aac-87b7-4e40-8c59-d5c669832f47,Farmhouse ,East Coast Yeast,ECY03B,Mixed-culture,Liquid,Saccharomyces boulardii,,,"Dry, Mineral ",,,,80,,,26,28,Saison,Saison brasserie blend (ECY08) with a pure Brettanomyces isolate from a small but fascinating producer of Saison. Produces a fruity and funky profile with some acidity gradually increasing over time.
36810385-2281-49b6-a5de-fbb4ee18a44e,Flemish Ale,East Coast Yeast,ECY02,Hybrid,Liquid,"S. cerevisae, Brettanomyces, Lactobacillus, Pediococcus",,,"Dry, Sourness, leather, fruit, and cherry stone",,,,,,,,,Sour Ales,"A unique blend of yeast and bacterial cultures. Produces dry beers with sourness and notes of leather, fruit, and cherry stone."
554819bb-5839-405f-9040-8f38f3b95da1,Kellerbier,East Coast Yeast,ECY28,Lager,Liquid,,,,"Clean, Crisp, lager",,,,74,76,,8,12,"German Pilsners, Kellerbier","This yeast exhibits a clean, crisp lager in traditional northern German character. Use in German Pilsners including Kellerbier."
a600a175-744f-4c08-ba9a-8990571c9e38,Kölschbier,East Coast Yeast,ECY21,Ale,Liquid,,,,"Mineral, Malt, Yeasty",,,,75,78,,14,19,Kolsch,"Produces a clean lager-like profile at ale temperatures. Smooth mineral and malt characters come through with a clean, lightly yeasty flavor and aroma in the finish"
a412749f-bd6b-457b-a071-a25d17bf2802,Nordic Farmhouse,East Coast Yeast,ECY43,Kveik,Liquid,Saccharomyces cerevisiae,,,"Spicy, Orange ",,,,78,83,,32,41,"Kveik, American IPA, Hazy IPA, American Pale Ale, Black IPA, Red IPA, Red Ale, Robust Porter, American Stout, Winter Seasonal Beer, English IPA, Extra Special Bitter, Bitter, Stout, Tropical, Blonde Ale, American Strong Ale, Cream Ale, American Amber Lager, American Brown Ale, White IPA, Imperial IPA","igmund strain of Kveik yeast (Saccharomyces cerevisiae). Traditionally used in the production of Norwegian Farmhouse Ale yielding spicy orange peel flavor, particularly if underpitched."
9e00a543-72f2-43ad-b463-10c10a37e6e6,Old Newark Ale,East Coast Yeast,ECY10,Ale,Liquid,,,,,,,,76,78,High,16,20,"American Ales, English Ales","Sourced from a now defunct east coast brewery, this pure strain was identified as their ale pitching yeast. Good for all styles of American and English ales. Top fermenting, high flocculation with a solid sedimentation. Suggested fermentation temp: 60-68°F. Apparent Attenuation: 68-72% Resurrected from a freezed-dried deposit library, this pure strain of S. cerevisae is NOT the rumored Chico strain.  Rumored to be Ballantine."
7c3b6ab3-f4fc-4977-b08c-9ed93c5d15d2,Saison Brasserie,East Coast Yeast,ECY08,Mixed-culture,Liquid,,,,Dry,,,,80,,,24,29,Saison,A combination of several Saison yeasts for both fruity and spicy characteristics accompanied by dryness. Apparent Attenuation: up to 80%. Suggested fermentation temp: 75-85° F.
691a6004-0e21-48cb-b362-76b72e3c32d7,Scottish Heavy,East Coast Yeast,ECY07,Ale,Liquid,,,,"Woody, Oak, Malt, Whiskey",,,,77,80,,16,20,"Scottish Ales, Stouts, Old Ales","Leaves a fruity profile with woody, oak esters reminiscent of malt whiskey. Well suited for 90/shilling or heavier ales including old ales and barleywines due to level of attenuation (77-80%) - recommend a dextrinous wort. Suggested fermentation temp: 60-68°F."
1075a777-b9e7-4a15-b878-87e1173aab06,Belgian Abbaye,East Coast Yeast,ECY09,Ale,Liquid,,,,"Estery, Clove, Fruit",,,,74,76,,19,25,Belgian Ale,"This yeast produces classic Belgian ales – robust, estery with large notes of clove and fruit. Rated highly in sensory tests described in ""Brew Like A Monk"" for complexity and low production of higher alcohols. Apparent attenuation 74-76%. Suggested fermentation temp: 66 - 72° F. "
947d9fb5-a5fe-46d3-a535-6e0d63974f86,Belgian Abbaye 2,East Coast Yeast,ECY13,Ale,Liquid,,,,"Dry, Fruity, Malt",,,,74,76,,24,27,Belgian Ale,"Traditional Abbey yeast with a complex, dry, fruity malt profile. Rated highly in sensory tests described in ""Brew Like A Monk"" for complexity and low production of higher alcohols. Apparent Attenuation: 74-76%. Suggested fermentation temp: 66-72° F."
2f7b0e7d-4876-4044-a690-530415406221,Saison,East Coast Yeast,​ECY14,Mixed-culture,Liquid,,,,"Smooth, Apple pie, Spice",,,,76,78,,24,28,Saison,"This pure strain leaves a smooth, full character with mild esters reminiscent of apple pie spice. Apparent attenuation 76-78%. Suggested fermentation temp: 75 - 82° F. "
0fb0a6ae-d62d-4d50-b2d2-2c70f0aa6a28,Dour Saison,East Coast Yeast,​ECY41,Hybrid,Liquid,Saccharomyces cerevisiae var. diastaticus,,,"Dry, Peppery, Earthy",,,,77,83,,25,26,Saison,"Dry, peppery, and complex earthy notes. Saccharomyces cerevisiae var. diastaticus. Fermentation Temp 77-80°F. Attenuation: 77-83%.  "
f299a9d1-306f-4150-b30a-617fcb9c1e56,American Ale,Escarpment Labs,,Ale,Liquid,Saccharomyces cerevisiae,,,"Neutral, Clean, Hop-forward",,,38.4615,72,76,Medium,16,22,Americal Ale,"Excellent performance, and somewhat lower attenuation than Cali Ale. Suitable for nearly any clean style. Much like Cali Ale, exhibits clean fermentation at a wide temperature range, and accentuates hop character."
8629b1e5-cef4-43a9-a60c-8771651d8edb,Anchorman Ale,Escarpment Labs,,Ale,Liquid,Saccharomyces cerevisiae,,,"Neutral, Clean, Hop-forward",,,53.8462,75,85,High,18,20,"IPA, Pale Ales","Clean fermentation profile, with slightly faster attenuation and flocculation than Cali Ale Yeast. Suitable for production of clean West Coast style ales."
0ddf4525-be7f-4d21-9ea2-1e8222ccb7cb,Ardennes Belgian Ale,Escarpment Labs,,Ale,Liquid,Saccharomyces cerevisiae,,,"Pineapple, Coconut, Baking Spice",,,53.8462,72,80,Medium High,18,25,"The functional properties of brewing yeasts have a direct impact on the performance, quality and economics of the resulting beer.","The functional properties of brewing yeasts have a direct impact on the performance, quality and economics of the resulting beer."
28a35cdc-cc64-4f67-8a58-f20cbe016c32,Arset Kveik Blend,Escarpment Labs,,Kveik,Liquid,Saccharomyces cerevisiae,,,"Neutral, Light Tropical Fruit",,,53.8462,70,80,High,20,37,"The functional properties of brewing yeasts have a direct impact on the performance, quality and economics of the resulting beer.","This kveik yeast was sourced from Jakob Årset, on the farm Årset in Eidsdal, Norway. The overall flavour profile is similar to the Hornindal Kveik Blend, but this blend shows a higher degree of hop biotransformation. This blend also exhibits a broad temperature range (we have heard of sub-15ºC) and tolerates acidic wort quite well."
85b255e1-948f-4725-9896-223da78a293c,Belgian Sour Blend,Escarpment Labs,,Mixed-culture,Liquid,"Brettanomyces, Lactobacillus, Pediococcus & Wilds ",,,"Fruity, Funky, Balanced Acid",,,7.69231,80,,Low,20,25,Sours,"A blend of 5 Brettanomyces strains isolated from Belgian Lambic beers, alongside 4 strains of Lactobacillus and 2 strains of Pediococcus, for the production of mixed fermentation sour ales. For best results, we recommend using this blend in beer with less than 7 IBUs initially. Subsequent generations can use increasing IBUs. This is supplied at secondary fermentation pitch rates, and is intended to be used in secondary or as a copitch, alongside a primary fermentation strain of your choice."
b2a6934a-3e6e-45c1-b0de-c378a93f6978,Berliner Brett Blend,Escarpment Labs,,Mixed-culture,Liquid,Brettanomyces bruxellensis,,,"Citrus, White wine, Peach",,,,,,,,,,"A blend of Berliner Brett 1 (Brettanomyces anomalus) and Berliner Brett 2 (Brettanomyces bruxellensis) for balanced, subtle Brett character in traditional Berliner Weisse and beyond. Flavour profile includes citrus, white wine, and peach. Secondary pitch rates only. "
62279217-7166-4b07-afc4-5b91d66f8386,Berliner Brett I,Escarpment Labs,,Ale,Liquid,Brettanomyces anomalus,,,"Citrus, White Wine, Subtle Funk",,,53.8462,57,,Medium Low,18,24,"Traditional Berliners, subtly funky beers","A Brettanomyces anomalus strain from a ~40 year old bottle of Hochschule Berliner Weisse. Works well in traditional style Berliners, and anywhere subtle, refined Brett character is desired. The fruit profile tends toward citrus and white wine. This strain is sold in secondary pitch rates only."
a41c7250-163e-4a00-84d6-dd9a5adbd150,Berliner Brett II,Escarpment Labs,,Ale,Liquid,Brettanomyces bruxellensis,,,"Orchard Fruit, Pineapple, Subtle Funk",,,23.0769,57,,Low,18,24,"Traditional Berliners, subtly funky beers","Brettanomyces bruxellensis from an old bottle of Schultheiss Berliner Weisse. Funkier than Berliner Brett I, with notes of peach, pineapple, and pear."
1ab7023b-4458-48d9-9f1c-581b3b431093,Biergarten Lager,Escarpment Labs,,Lager,Liquid,Saccharomyces pastorianus,,,"Balanced, Clean, Sulfur",,,23.0769,70,75,Medium,9,13,"For German-style Helles, Pilsner, etc.","This strain offers low diacetyl production and a crisp flavour profile that is highly suited for German Pilsner, Helles, Festbier or other Munich-style lagers."
57cfeb09-be27-4160-b10b-2be5ccf9d845,Brett B,Escarpment Labs,,Ale,Liquid,Brettanomyces bruxellensis,,,"Berries, Red Apple, Funk",,,38.4615,80,,Low,22,27,Barrel aged ales and Orval clones,"A classic Brettanomyces bruxellensis strain, isolated from a classic abbey beer, is typically used in secondary fermentations where balanced Brett character (fruit, funk) is desired."
6ad385ab-1697-4a28-a4b8-de0afc31c96f,Brett D,Escarpment Labs,,Ale,Liquid,Brettanomyces bruxellensis,,,"Pineapple, Tropical Fruit, Funk",,,53.8462,80,,Low,20,25,"Hoppy beers, Saisons, Sours",This strain of Brettanomyces bruxellensis is noted for very prominent pineapple esters alongside a good dose of funk. Suited to primary or secondary fermentation.
daa46164-4eac-4a83-9b0f-8b05882e3a28,Brett M,Escarpment Labs,,Ale,Liquid,Brettanomyces bruxellensis,,,"Fruit Salad, Funk",,,53.8462,80,,Low,22,27,Balanced funky beers. Great in Saisons,"A house favourite Brettanomyces bruxellensis strain, which develops funky and fruity flavours quickly. Great in mixed fermentation saisons and funky Belgian styles."
8f147537-2c84-4645-b6e9-fe116f83d73b,Brett Q,Escarpment Labs,,Ale,Liquid,Brettanomyces bruxellensis,,,"Strawberry, Earth, Funk",,,53.8462,80,,Medium High,20,25,Barrel aged ales and funk bombs,"This unique Brettanomyces bruxellensis strain was originally isolated from a barrel-aged sour beer from Quebec. Tasting notes include ripe strawberry, pear, apple, with underlying funk."
2d611d8d-dbce-448d-a561-96c5c5d8fb8e,Brussels Brett,Escarpment Labs,,Ale,Liquid,Brettanomyces bruxellensis,,,"Plum, Fruit Salad, Funk",,,53.8462,80,,Low,22,27,Intensely aromatic funky beers,"This Brettanomyces bruxellensis strain displays a balanced selection of fruity characteristics, with tasters noting plum, red berry, citrus, and red apple, alongside subtle acidity and elevated funk. It shines in secondary fermentation with extended aging where it displays prominent funky flavours."
f7104207-b76b-4a38-93a8-bee42596f914,Brut Ale,Escarpment Labs,,Ale,Liquid,,,,"Clean, White Wine",,,23.0769,80,,Low,14,22,Dry and crushable ales,"Originally labelled a Kölsch strain, this yeast is non phenolic but diastatic, which makes it suitable for producing very dry, clean ales."
5c58187a-e9cd-4d5b-a7e9-a865ca9062f0,Cali Ale,Escarpment Labs,,Ale,Liquid,Saccharomyces cerevisiae,,,"Neutral, Clean, Hop-forward",,,53.8462,75,80,Medium,16,22,"Clean, focused American ales","An exceptionally versatile ale yeast that provides clean fermentation and accentuates hop character, suitable for nearly any style."
ce182930-90ef-49cf-b697-78caff12161d,Cerberus,Escarpment Labs,,Ale,Liquid,,,,"Pineapple, Coconut, Lemongrass",,,38.4615,70,80,Low,22,28,Fruity and hop-forward beers,"This enigmatic strain has proven itself in many breweries who use it alone or paired with Vermont Ale to produce fruit-forward, hoppy beers. Produces and enhances tropical fruit flavours. If used alone, we recommend a highly fermentable wort."
9b880c36-8906-4047-a367-4ce3a228d367,Classic Witbier,Escarpment Labs,,Ale,Liquid,Saccharomyces cerevisiae,,,"Citrus, Tropical Fruit, Baking Spice",,,23.0769,72,78,Medium Low,19,24,The palest of Belgian beers,"A genre-defining Witbier strain, famous for balanced phenol and ester character with slight tartness that emphasizes wheat flavour. Rapid fermentation!"
edabdeb7-1af4-4b43-aff7-5096e3dbf27b,Copenhagen Lager,Escarpment Labs,,Lager,Liquid,Saccharomyces pastorianus,,,"Balanced, Hop-forward, Clean",,,38.4615,71,77,Medium Low,8,13,For all types of lagers,"One of the most widely-used lager strains in the world, and a great choice for accentuating hops and/or more mineral-rich water profiles."
1986dcf4-d08e-434b-b259-e7f71ace302f,Czech Lager,Escarpment Labs,,Lager,Liquid,Saccharomyces pastorianus,,,"Balanced, Clean, Sulfur",,,23.0769,70,78,Medium,9,13,Czech Pilsners,"This traditional Czech Pilsner yeast rewards patience with a clean, crisp profile and accentuates subtleties in selected malt and hops."
fc38a7b2-926e-49cc-9550-f4ba3bb74ef9,Dry Belgian Ale,Escarpment Labs,,Ale,Liquid,,,,"Citrus, Grape, Baking Spice",,,23.0769,85,,Medium Low,22,26,"ale Belgians - Blond, Tripel, etc","One of our favourite Belgian-style isolates obtained from an American producer of Belgian-style beers. Classic Belgian flavours and aggressive primary fermentation. We especially like this strain for Strong Golden, Tripel, and other strong Belgian styles."
63748e08-da6a-444a-b71a-f49ab113cc1a,Ebbegarden Kveik Blend,Escarpment Labs,,Kveik,Liquid,Saccharomyces cerevisiae,,,"Guava, Floral",,,53.8462,70,80,Medium,22,27,From clean beers to fruity IPAs,"This blend displays prominent tropical guava and mango esters, lending well to modern aromatic styles like NEIPA. Note that this blend does accentuate hop bitterness and so less (or no) bittering hops are needed."
57102a1f-8751-4fb4-a562-830939221e9b,English Ale I,Escarpment Labs,,Ale,Liquid,Saccharomyces cerevisiae,,,"Strawberry Jam, Toasty",,,23.0769,63,71,Very High,18,22,Traditional English ales,"A classic English ale yeast which ferments and flocculates quickly, leaving some residual sugars. However, it is highly responsive to wort fermentability and can attenuate well with very fermentable worts."
7607bd67-c26f-4917-99df-64a3a25ee54d,English Ale II,Escarpment Labs,,Ale,Liquid,Saccharomyces cerevisiae,,,"Fruit Jam, Malty",,,23.0769,72,80,Very High,18,22,Traditional English ales,"Very flocculant, suited for English ales and is also great as a house yeast strain for most English/American beer styles."
daa8a9f0-6112-4fa0-a999-f09ab2fc6dc1,English Ale III,Escarpment Labs,,Ale,Liquid,Saccharomyces cerevisiae,,,"English, Clean, Citrus",,,23.0769,72,80,Medium,18,22,Balanced and clean ales.,"Suited for English ales and is also great as a house yeast strain for most English/American beer styles. Does not flocculate quite as hard as English I or II, making it easier to crop."
3c1d7473-1ddf-4f2a-b027-886d3a25e29b,Foggy London Ale,Escarpment Labs,,Ale,Liquid,Saccharomyces cerevisiae,,,"Fruit Salad, Citrus",,,38.4615,71,78,Medium,18,23,Modern fruity hop-forward styles and English ales,"Displays a balanced fruity flavour profile, and accentuates malt and hop flavours. It is especially suited for the production of fruity, hop-forward New England-style IPAs."
d1b1e4f4-06d2-4a02-baf8-ef876b5058ce,French Saison,Escarpment Labs,,Ale,Liquid,,,,"White Pepper, Lemon, Citrus",,,53.8462,90,,Low,22,30,"Saison, Witbier, French Table Beer","This is an extremely versatile Saison strain that can be used in the production of a broad array of beer styles. It performs best when fermented warm, however can tolerate lower temperatures. At lower temperatures expect light esters and citrus notes, though when fermented much warmer (23°C or higher) one can expect pepper, spice, and an explosion of esters. This strain is very attenuative and will result in dry beers but will still result in a very pleasing mouthfeel."
73b2beb9-0269-4d1e-ae15-df0433457fe4,Fruity Wit,Escarpment Labs,,Ale,Liquid,,,,"Red Fruit, Floral, Baking Spice",,,23.0769,70,75,Medium Low,20,26,The palest of Belgian beers,A Witbier strain that produces tons of complex fruity esters while still prominently displaying classic Witbier character. Medium-low flocculation helps ensure classic Witbier haze.
cc1c49a1-32f0-4d5b-be51-e771b4d62a92,Fruit Bomb Saison Blend,Escarpment Labs,,Mixed-culture,Liquid,"Brettanomyces anomalus, Brettanomyces bruxellensis",,,"Citrus, Pineapple, Funk",,,53.8462,85,,Low,22,27,Funk and fruit-forward Saisons,"This high-character blend contains a Saison strain with balanced ester and spice aromas, an enigmatic Brettanomyces anomala strain with tropical characteristics, and a complex and fruity Brettanomyces bruxellensis strain. Highly suited to aroma hop or fruit-forward farmhouse ales/saisons."
d51c9185-e8ec-42a6-b541-7c303028b03e,Hornindal Kveik Blend,Escarpment Labs,,Kveik,Liquid,Saccharomyces cerevisiae,,,"Tropical Fruit, Red Apple, Earthy",,,53.8462,70,80,High,15,35,"IPA, Pale Ales, Hazy IPAs",This blend is highly flocculant and displays mixed fruity character. It can also be used to produce haze in hoppy beers.
