ID,Producer,Name,Group,Moisture (%),Yield (%),Color (EBC),Beta Glucans (mg/l),Viscosity (mPa.s),Diastatic power (ºWK),Protein (%),Protein (TN),FAN (mg / 100g),Max in Batch (%),Country,DMS-P,Kolbach Index,Wort ph,Recommend In Mash,Notes
,Atelier Do Malte,Terroir Paulista Caramelo 130 EBC,caramel,6,74,140,200,1.6,150,12,1.92,120,20,Brazil,5,41,,TRUE,"Darker caramelized malt. Provides a strong sweet taste of caramel and baked bread, as well as a darker golden color to your beer. It is a malt that goes through the ""stuffing"" process to produce sugars and caramelize causing vitrification of part of the starch, which contributes to providing more body to the beer like other caramel malts, and also good production and retention of foam."
,Atelier Do Malte,Terroir Paulista IAC-600 Black Rice Malt,specialty,6,74,0,0,,120,9,1.44,,40,Brazil,,,,TRUE,"Black rice malt is a novelty at Atelier do Malte, which, in partnership with the producers of Alto do Marins, has been developing rice malt options to supply microbrewers and homemade brewers with gluten-free malt options and other national products for whom has creativity and likes news. The rice has the highest gelatinization temperature, and a test of the best brewing ramp is recommended to obtain a good enzymatic power and greater extract. Rice has extract and enzymatic power slightly below traditional barley, behaving like a caramelized malt in this regard . "
,Atelier Do Malte,White Rice Malt TERROIR PAULISTA,specialty,7,62,5,0.2,,,10,1.6,125,80,Brazil,,46,,,"WHITE RICE MALT is a novelty from Atelier Do Malte. We have been developing malt options to supply microbrewers and home-made adventurers with new options of GLUTEN-FREE MALT and different NATIONAL products for those with creativity and looking for novelties. A disadvantage of working with uncooked rice as an adjunct to beer is its high gelatinization temperature, making it difficult to break down starch in sugars, generating a low extract, and also the lack of enzymes to guarantee the breakdown of numerous substances in rice and needing a separate decoction process. However, we offer you RICE MALT. During the malting process, several substances break down, such as proteins, beta glucans and polysaccharides, as well as the production and release of enzymes that will break these substances evenly during mashing. For this reason, RICE MALT has a lower gelatinization temperature and has enzymes that will assist in the production of a must suitable for the growth of yeast and the production of your beer, which can be called gluten-free beer."
,Atelier Do Malte,Light Wheat Malt,base,6,82.1,6,,1.9,105,13.5,2.16,,100,Brazil,,,,TRUE,"Because it has a slightly higher percentage of protein than barley, wheat malt is famous for leaving the characteristic of greater turbidity in beer, but this characteristic is very appreciated in Weiss and Wit beers.     In order to maintain a light color and with a high level of enzymes, light wheat malt does not force its modification and is taken care of during drying and roasting so that the curing temperature is sufficient to eliminate DMS precursors and inactivate oxidative enzymes. and for the development of flavor without, however, compromising the proteolytic and amylolytic enzymes of the malt.  "
,Atelier Do Malte,Munich Wheat Malt,specialty,6,82,25,,1.9,,13.5,2.16,,30,Brazil,,,,,"For having a slightly higher percentage of protein than barley, wheat malt is famous for leaving the characteristic of greater turbidity in beer, but this characteristic is very appreciated in some beers for increasing the retention of the foam and the body of the beer.     For the development of color, Munich wheat malt forces its modification (higher moisture in the maceration and germination time). At the beginning of drying, it is stewed to produce free amino acids that will facilitate the browning reactions. Care is taken during drying and roasting so that the curing temperature is sufficient to eliminate DMS precursors, inactivate oxidative enzymes and to develop the desired color and flavor.   "
,,,,,,,,,,,0,,,,,,,,
,Avangard,Pilsener Malt,base,4.5,81,4,300,1.6,220,11,1.76,120,,Germany,,,5.8,,
,Avangard,Pilsener Malt 6 row winter,,4.5,80,4,300,1.6,250,11.2,1.792,120,,Germany,,,5.8,,
,Avangard,Pilsener Malt 2 row winter,,4.5,79,4,350,1.6,300,11.5,1.84,120,,Germany,,,5.8,,
,Avangard,Pale Ale Malt,base,4.5,80,8,300,1.6,200,11.5,1.84,120,,Germany,,,5.8,,
,Avangard,Vienna Malt,base,4.5,80,12,350,1.65,200,11.5,1.84,120,,Germany,,,5.8,,
,Avangard,Munich Malt,base,4.5,80.5,32,350,1.65,200,11,1.76,120,,Germany,,,5.5,,
,Avangard,Light Caramel Malt,,5,78,25,,,,11.5,1.84,120,,Germany,,,5.5,,
,Avangard,Dark Caramel Malt,,5,78,65,,,,11.5,1.84,,,Germany,,,5.5,,
,Avangard,Wheat Malt,base,5,83,5,,,,13.5,2.16,90,,Germany,,,5.8,,
,,,,,,,,,,,0,,,,,,,,
,Bairds,Lager Malt,base,4.5,80.08,4,,,215,10.6,1.696,,100,UK,,40,,,European style pilsener malt used for brewing premium lagers.  Imparts light golden colour and sweet wort flavours.
,Bairds,Pale Ale Malt,base,4.5,81.5,7,,,215,10.3,1.648,,100,UK,,42.5,,,Can be used in pale ale beers or even Porters and Stouts. Imparts a golden colour and rich malty flavour notes.
,Bairds,Pale Ale Low Colour Malt,base,4.5,81.5,4,,,140,10.3,1.648,,100,UK,,39,,,Can be used in pale ale beers or even porters and stouts. Imparts a golden colour and rich malty flavour notes.
,Bairds,Winter Pale Ale Malt,base,4,81.5,4,,,140,9.7,1.552,,100,UK,,42.5,,,Can be used in pale ale beers or even porters and stouts. Imparts a golden colour and rich malty flavour notes.
,Bairds,Winter Pale Ale Low Colour Malt,base,4,81.5,4,,,140,9.7,1.552,,100,UK,,42.5,,,Can be used in pale ale beers or even porters and stouts. Imparts a golden colour and rich malty flavour notes.
,Bairds,Maris Otter Pale Ale Malt,base,4,81.5,7,,,140,10,1.6,,100,UK,,42.5,,,"Best Ale Type Beers, Imparts sweet, complex biscuit type notes to Best Ale type beers."
,Bairds,Maris Otter Low Colour Malt,base,4.5,81.5,4.5,,,140,10,1.6,,100,UK,,42.5,,,"Best Ale Type Beers, Imparts sweet, complex biscuit type notes to Best Ale type beers."
,Bairds,Scottish Golden Promise Malt,base,4.5,79.5,4.5,,,215,10.3,1.648,,100,UK,,37,,,"Perfect for IPAs, Scotch and English ales, Imparts light golden colour and sweet wort flavours."
,Bairds,Scottish Ale Malt,base,4,81.5,4.5,,,140,9.7,1.552,,100,UK,,42.5,,,Can be used in pale ale beers or even porters and stouts. Imparts light golden colour and sweet wort flavours.
,Bairds,Vienna Malt,roasted,3.5,80.05,10,,,145,11.3,1.808,,15,UK,,43,,,Used for making dark lager beer of the Vienna or Märzen style. Provides sweet worts and light golden to orange hues.
,Bairds,Munich Malt,roasted,3.5,80,15,,,120,11.3,1.808,,15,UK,,42,,,Used in the production of dark Dunkel lagers. Provides sweet worts and light golden to orange hues.
,Bairds,Hi-Dry Malt,roasted,4.5,80,50,,,120,11,1.76,,15,UK,,42,,,"Perfect for a bock beer, Bready and Malty in flavour."
,Bairds,Greenwich Crystal Malt,caramel,4.5,78,160,,,,,0,,10,UK,,,,,"Best Ale Type Beers, A complex range of sweet caramel, toffee flavours and enhanced mouthfeel."
,Bairds,1823 London Lager Malt,specialty,4.5,80.8,4,,,245,10.6,1.696,,100,UK,,40,,,"Lager or low coloured ales, Provides a malty and honeyed flavour."
,Bairds,Maris Otter Finest Ale Malt,specialty,4,82,7,,,165,9.7,1.552,,100,UK,,42.5,,,"Best Ale type beers,  Imparts sweet, complex biscuit type notes to Best Ale type beers."
,Bairds,Maris Otter Crystal Malt,specialty,4.5,78,160,,,,,0,,10,UK,,,,,"Best Ale Type Beers, Excentuated biscuity notes with very sweet honey and caramel flavours yet and a slightly bitter finish."
,,,,,,,,,,,0,,,,,,,,
,Barrett Burston Malting,Pale Malt,base,4.8,80,4.5,,,230,,1.84,,,Australia,,42.5,,,
,Barrett Burston Malting,Ale Malt,base,4.5,80,7,,,200,,1.84,,,Australia,,43,,,
,Barrett Burston Malting,Wheat Malt,base,5.5,77,5.5,,,250,,1.85,,,Australia,,41,,,
,Barrett Burston Malting,Vienna Malt,base,,,12,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Munich Malt,base,,,20,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Dark Munich Malt,base,4.5,,28,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Caramalt Malt,specialty,5,75,60,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Medium Crystal Malt,specialty,,,180,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Dark Crystal Malt,specialty,,,280,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Amber Malt,roasted,,,80,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Chocolate Malt,roasted,,,500,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Roasted Malt,roasted,,,1150,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Roasted Barley,roasted,,,1000,,,,,,,,Australia,,,,,
,Barrett Burston Malting,Dark Roast Malt,roasted,,,1400,,,,,,,,Australia,,,,,
,,,,,,,,,,,,,,,,,,,
,BestMalz,BEST Heidelberg,base,4.9,80.5,2.9,,1.6,250,11.5,1.84,,100,Germany,,39.5,5.9,,"Base malt for Pale Ales, Pale Premium Pilsner and Pilsner beers, ‘light’ beers, as emzyme-rich and light-colored basis for all beer styles."
,,BEST Pilsen Malt ,base,4.9,80.5,4.9,,1.6,250,11.5,1.84,,100,,,40.5,5.9,,"Base malt for all beers, Premium Pilsner ans Pilsner beers, Export, Kölsch, Lager, Helles, light beers, and as a base malt for almost all beer styles."
,,BEST Organic Pilsen Malt,base,4.9,80.5,4.9,,,,,0,,,,,,,,
,,,base,,,,,,,,0,,,,,,,,
,,,base,,,,,,,,0,,,,,,,,
,,,base,,,,,,,,0,,,,,,,,
,,,base,,,,,,,,0,,,,,,,,
,,,base,,,,,,,,0,,,,,,,,
,,,base,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,0,,,,,,,,
,Bindewald,,,,,,,,,,0,,,,,,,,
, Bonsak Gårdsmalteri,,,,,,,,,,0,,,,,,,,
, Briess,,,,,,,,,,0,,,,,,,,
, Candi Syrup,,,,,,,,,,0,,,,,,,,
, Cargill,,,,,,,,,,0,,,,,,,,
, Cargill (Gambrinus),,,,,,,,,,0,,,,,,,,
, Cascade Beer Candi Company,,,,,,,,,,0,,,,,,,,
, Castle Malting,,,,,,,,,,0,,,,,,,,
, Coopers,,,,,,,,,,0,,,,,,,,
, Crisp,,,,,,,,,,0,,,,,,,,
, DURST MALZ,,,,,,,,,,0,,,,,,,,
, Dingemans,,,,,,,,,,0,,,,,,,,
, Double Eagle,,,,,,,,,,0,,,,,,,,
, Fruits Rouges & Co,,,,,,,,,,0,,,,,,,,
, Fuglsang,,,,,,,,,,0,,,,,,,,
, Gambrinus,,,,,,,,,,0,,,,,,,,
, Gladfield,,,,,,,,,,0,,,,,,,,
, Great Western,,,,,,,,,,0,,,,,,,,
, Harraway's,,,,,,,,,,0,,,,,,,,
, Hoepfner,,,,,,,,,,0,,,,,,,,
, International Malting Company,,,,,,,,,,0,,,,,,,,
, Ireks,,,,,,,,,,0,,,,,,,,
, Joe White Maltings,,,,,,,,,,0,,,,,,,,
, Lyle's,Golden Syrup,,,,,,,,,0,,,,,,,,
, Maltear,,,,,,,,,,0,,,,,,,,
, Malteria Blumenau,,,,,,,,,,,,,,,,,,
, Maris Otter,,,,,,,,,,,,,,,,,,
, Mecca Grade Estate Malt,,,,,,,,,,,,,,,,,,
, Muntons,,,,,,,,,,,,,,,,,,
, Norsk Malt,,,,,,,,,,,,,,,,,,
, Patagonia,,,,,,,,,,,,,,,,,,
, Rahr,,,,,,,,,,,,,,,,,,
, Raisio,,,,,,,,,,,,,,,,,,
, Rhoen Malz,,,,,,,,,,,,,,,,,,
,SAB,,,,,,,,,,,,,,,,,,
, Schreier,,,,,,,,,,,,,,,,,,
, Sekado,,,,,,,,,,,,,,,,,,
, Simpsons,,,,,,,,,,,,,,,,,,
, Skagit Valley Malting,,,,,,,,,,,,,,,,,,
, Steinbach Malzerei,,,,,,,,,,,,,,,,,,
, The Swaen,,,,,,,,,,,,,,,,,,
, Thomas Fawcett,,,,,,,,,,,,,,,,,,
, Two Track Malting Company,,,,,,,,,,,,,,,,,,
, Viking Malt,,,,,,,,,,,,,,,,,,
, Warminster,,,,,,,,,,,,,,,,,,
, Weyermann,,,,,,,,,,,,,,,,,,
