ID,Name,Purpose,Alpha Acid Low (%),Alpha Acid High (%),Beta Acid Low (%),Beta Acid High (%),Co-Humulone Low (%),Co-Humulone High (%),Country,Storability,Total Oil Composition Low (mL/100g),Total Oil Composition High (mL/100g),Myrcene Oil Low (%),Myrcene Oil High (%),Humulene Oil Low (%),Humulene Oil High (%),Caryophyllene Oil Low (%),Caryophyllene Oil High (%),Farnesene Oil Low (%),Farnesene Oil High (%),Linalool Oil Low (%),Linalool Oil High (%),Polyphenols Oil Low (%),Polyphenols Oil High (%),Substitutes,Style Guide,Also Known As,Characteristics,Description
,Liberty,Aroma,3,6,3.5,,24,28,US,Retains 35%-55% alpha acid after 6 months storage at 20ºC (68ºF),1.3,,46,,31,,9,12,1,,,,,,"Hallertau, Mount Hood, Tradition","Bock, Lager, Pale Ale",,Noble hop characteristics,"Born in 1983, Liberty is half-sister to Crystal, Ultra and Mt. Hood. It originates from Hallertau Mittelfrüher and a disease resistant German aroma male. Liberty’s yield is low but it still enjoys popularity, especially in the US. It is a genetically sterile variety and not suitable for breeding."
,Petham Golding,Aroma,6.9,,2,,28,,UK,Retains 57% alpha acid after 6 months storage at 20ºC (68ºF),1.15,,57,,16,,9,,,,,,,,,,,,"Hailing from Wye College in England, Petham Golding was one of the prevailing hop varieties grown in East Kent in the late 1800’s. Descended from Canterbury Whitebine, much like other Golding varieties, the variety isn’t around much anymore due to its lackluster yield, poor storage stability and susceptibility to Hop Mosaic virus. In addition, it has an unusual upward-facing sidearm configuration that tends to break easily at the branching point. Little can be found about its flavor and aroma profile but the variety is parent to popular US varietal, Chinook. Naturally one would assume these two varieties are likely to share some characteristics as a result."
,Serebrianka,Aroma,3,4,3,,23,,Russia,Retains 53% alpha acid after 6 months storage at 20ºC (68ºF),0.4,,30,,27,,8,,12,,,,,,,,"Silver Hop, Silver","Continental aroma and taste with hints of black tea, herbs and tobacco","Serebrianka, or Silver as it is sometimes called, is a Russian aroma hop and parent to Cascade. Its commercial viability was tested for a staggering 20 years in the US before it was discarded in 1991 for a number of faults, most notably, its incredibly low yield. It is however still sometimes available for home brewing use."
,Tolhurst,Aroma,2.2,,2.9,,31,,UK,Retains 49% alpha acid after 6 months storage at 20ºC (68ºF),0.65,,42.5,,19.4,,7.7,,8.3,,,,,,,,,Subdued but pleasant continental-style aroma,"Tolhurst hops were cultivated in the 1880’s by James Tolhurst in Horsmonden, England and are thought to have originated from an old land race. They feature a pleasant, but subdued continental-style aroma and are no longer grown commercially due to their low yield and dreadful storage stability."
,Millennium,Bittering,14.5,16.5,4.3,5.3,28,32,,Retains 76% alpha acid after 6 months storage at 20ºC (68ºF),1.8,2.2,30,40,23,27,9,12,1,,,,,,"Columbus, Nugget, Summit™, CTZ","Stout, Ale, American Ale",,"Mild, herbaceous, elements of resin","Millennium was, unsurprisingly, released in the year 2000. Emanating from the John I. Haas Breeding Program, Millennium hops are directly descended from Nugget and are considered similar in many ways to Columbus. They were born largely out of a desire for greater disease resistance and storage stability. They work well as a bittering agent in American-style ales, Stouts and are considered mild in character with an ability to impart herbaceous notes and elements of resin."
,Super Pride,Bittering,13.5,15,6.4,6.9,26.8,28,Australia,,2.1,2.6,19,34,1,2,5,8,0,1,,,,,Pride of Ringwood,"Imperial Pale Ale, Lager",,,"Super Pride is the offspring of Pride of Ringwood and a descendant of Yeoman. First bred at the Rostrevor Breeding Garden in Victoria in 1987 by Hop Products Australia, it was released in 1995 and since 2002 has become a mainstay bittering variety used in commercial beer production in Australia."
,Precoce de Bourgogne,Aroma,3.4,,3.1,,23,,France,Retains 61% alpha acid after 6 months storage at 20ºC (68ºF),0.34,,45,,20,,5.9,,10.6,,,,,,,,"Precoce de Burgnogne, Precoce d’Bourgogne",,"French in origin, Precoce de Burgnogne is likely a clone but it is unknown exactly from which variety. Established in 1977, translated its name means “Early Burgundy” and it is very closely related to the Tardif de Bourgogne and Elsaesser varietals. While it is listed as an aroma hop, little tasting information exists on Precoce de Bourgogne. It was at one time grown commercially in small quantities in its native Alsace but it is not clear if this is still the case."
,Styrian Golding,Aroma,2.8,6,2,3,25,30,Austria and Slovenia,Retains 65%-80% alpha acid after 6 months storage at 20ºC (68ºF),0.5,,27,33,34,38,9,11,2,5,,,,,"Fuggle, Willamette, Bobek","Extra Special Bitter, Ale, Lager, Belgian Ale","Styrian, Savinja Golding, Savinjski Golding, Styrian Savinjski Golding, Yugoslavia Golding",Resinous and earthy with hints of white pepper,"Styrian Golding or Savinjski Golding as it is commonly known, goes by a multitude of sometimes confusing aliases. Confusing still is the fact it actually doesn’t come from a Golding at all, but is rather the result of the clonal selection of Fuggle and as such exhibits many Fuggle-like characteristics."
,Summer,Aroma,5.6,6.4,4.8,6.1,20,25,Australia,,1.4,2.,29,38,28,50,8,11,1,,,,,,Saaz,"Ale, Wheat, Belgian Ale, American Ale, India Pale Pale",Australian Summer,"Subtle flavors of apricot, melon, peach and grass","It’s not difficult to see how the Australian hops variety, Summer, got its name after experiencing its sublime and delicate notes of apricot and melon. Others have even noted elements of grass, peach, passionfruit and citrus."
,Tettnanger A,Aroma,4.4,,5,,23,,Germany,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),0.85,,47.2,,16.6,,5.1,,13.6,,,,,,"Tettnanger, Saaz, Hallertau","Lager, Pilsner",,Pleasant continental-style aroma,"Tettnanger A was created in the 1970’s at the University of Hohenheim in Germany via clonal selection from the original Tettnanger hop. Sibling to Tettnanger B, Tettnanger A was originally thought to contain higher alpha percentages though testing in the US has brought this into question. It is said to have a pleasant, continental-style aroma and like it’s parent, is thought to be a descendant of Czech variety, Saaz."
,Zythos®,"Bittering, Aroma",10,12.5,4.7,6.2,28,31,US,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),0.7,1.2,,,,,,,,,,,,,"Simcoe®, Amarillo®",American Ale,,"Notes of tangerine, grapefruit, pine and pineapple","Created by Hopunion LLC, Zythos® is a proprietary hop blend created specifically with IPA’s in mind. It features notes and aromas of tangerine, grapefruit, pine and even pineapple. Its high alpha acid content means it can be useful for bittering but is largely intended to shine as an aroma hop."
,California Cluster,Bittering,5.5,8.5,4.5,5.5,36,42,US,,,,,,,,,,,,,,,,"Eroica, Galena","American Barley Wine, Porter, English Pale Ale, Amber Ale, Honey Ale, Cream Ale",,Generic hop bitterness and flavor,"Generally considered to be indistinguishable from other Cluster varieties, California Cluster is a true dual use hop. Used prolifically by US brewers in the early-to-mid 1900’s, Clusters were widely available and cheap – providing a generic but pleasant bitterness and flavor."
,Coigneau,,,,,,,,Belgium,,,,,,,,,,,,,,,,,"Lambic, Pilsner","Cagneau, Cagnau, Carnau",,"Originating from the 18th century, Belgian Coigneau hops have largely disappeared. Light on bitterness, Coigneau hops were often employed in Lambic beers and to a lesser extend, Pilsners."
,Perle,"Bittering, Aroma",8,9,8,,28,,Germany,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),0.6,1.2,44,,29,,10.2,,0.2,,,,,,"Perle (US), Northern Brewer (GR)","Hefeweizen, Belgian Strong Ale, Lager, Pilsner, Kölsch",,,The original Perle was created in Germany sometime during the 1960’s or early-mid 1970’s from Northern Brewer and a German male. It was released to the public in 1978.
,Wakatu,"Bittering, Aroma",6.5,8.5,8.5,,28,30,New Zealand,,1.,,36,,17,,8,,6.7,,,,,,,"Lager, Pale Ale, Belgian Ale","Hallertau Aroma, New Zealand Wakatu, Hal Aroma","Floral, lime aromas","Wakatu, or Hallertau Aroma as it is sometimes know, is a New Zealand triploid hop with a lot going for it. 2/3 Hallertauer Mittelfrüher and 1/3 New Zealand male, it was released in 1988 from the New Zealand Institute for Plant and Food Research’s hop breeding program."
,Backa,Aroma,3.1,6.9,4,7.4,25,,Serbia,Retains 67% alpha acid after 6 months storage at 20ºC (68ºF),0.6,,,,,,,,,,,,,,,"Lager, Pilsner",,,"Dating back to 1956, Backa is an old, rare variety of aroma hop with an unknown land race pedigree. It has the potential for high yield in its native Backa region of Serbia (formerly Yugoslavia) but doesn’t seem to do all that well elsewhere. It’s highly aromatic and is said to have similar qualities to many European “Noble Hops”. The USDA lists two strains of Backa (56002) and (21080), but there seems to be some disagreement as to whether or not they are identical."
,Olympic,"Bittering, Aroma",10.6,13.8,3.8,6.1,31,,US,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),0.86,2.55,40.8,,12.2,,12,,0.9,,,,,,"Galena, Nugget, Chinook","American Lager, American Ale, Pale Ale",,Notes of spice and citrus,"Olympic has a complex lineage. Though its predominantly genetically derived from Brewer’s Gold (3/4), it also owes its existence to Fuggle, East Kent Golding, a so-called “Bavarian” seedling and a fifth, unknown variety. As a result, Olympic is a spicy and citrus laden hop. It’s grown primarily in Washington State and was released in the mid 1980s. It enjoyed solid growth upon its release reaching around one percent of total US hops production in 1986. However by 1997 this figure had halved."
,Bate’s Brewer,,,,,,,,UK,,,,,,,,,,,,,,,,,,,,"Bate’s Brewer is a very old hop variety that is no longer grown. Used to breed Whitbread Golding, it — much like it’s progeny — is not considered to be a true Golding variety. It was used extensively by Wye College in the early 1900’s to breed new varieties."
,Dana,"Bittering, Aroma",11,16,4,6,28,31,Slovenia,,2.4,3.9,50,59,15,21.6,5.7,7.6,6.9,8.7,,,,,,India Pale Ale,"Styrian Dana, Ekstra Styrian Dana, Extra Styrian Dana",Subtle floral and citrus flavors,"Dana, or Extra Styrian Dana as it is often known, is a Slovenian hop bred from Hallertau Magnum and a wild Slovenian male. A product of the Institute of Hop Research in Zalec, Solvenia, it is said to feature quality and harmonious bittering properties alongside a slightly floral and citrus flavor profile."
,Density,Aroma,4.4,6.6,3.3,,36,,UK,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),0.44,,57,,17,,7,,0.3,,,,,,Defender,,,,"Density shares the same interesting heritage as its sibling, Defender. Selected by Dr R. A. Neve at Wye College in England, Density was born as a cross from a New Mexico Wild American female hop, Eastwell Golding and other English hops. However, its very low alpha content and low yield potential has caused it to be discontinued from commercial production in England. Like it’s sibling, it is said to also feature a pleasant, European-style aroma."
,Santiam,Aroma,5,8,5.3,8.5,18,24,US,Retains 40%-50% alpha acid after 6 months storage at 20ºC (68ºF),1.3,1.7,25,36,23,26,4.8,8.8,13,16,,,,,"Tettnanger, Spalt, Spalter Select, Hallertau, Liberty","American Blonde Ale, American Lager, India Pale Ale, American Pale Ale, Wheat, Bock",,"Soft, herbal, floral, fruity aromas with hints of pepper and spice","Developed at the Agriculture Research Service in Corvallis, Oregon, Santiam hails from parent varietals Swiss Tettnanger, German Hallertauer Mittelfrüher and a slightly more distant Cascade (US)-derived cultivar. It was released to the brewing public in 1997 and features a well-balanced oil profile."
,Tahoma,Aroma,7.2,8.2,8.5,9.5,15,17,US,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),1.0,2.,67,72,9,11,2.9,3.5,1,,,,,,,"Blonde Ale, Wheat, Lager",,"Subtle flavors and aromas of lemon citrus, orange, wood and spice","Released in 2013 by the USDA and Washington State University, Tahoma is the daughter of Glacier. With alpha content higher than its parent, Tahoma features very low cohumulone giving it a subtle, yet lovely lemon citrus aroma and flavor with undertones of orange, woodiness and spice."
,Vanguard,Aroma,4.40,6,6,7,14,16,US,Retains 75%-80% alpha acid after 6 months storage at 20ºC (68ºF),0.9,1.2,20,25,45,50,12,14,0,1,,,,,"Liberty, Mount Hood, Hallertauer Mittelfrüh, Saaz","Porter, Cream Ale, Lager, Rye Ale, Amber Ale, Belgian Ale, French Ale",,,Vanguard hops possess a unique acid profile. They feature a somewhat rare balance of low alpha acid and high beta acid and an oil profile dominated by high levels of humulene and yet very low levels of cohumulone.
,Vojvodina,"Bittering, Aroma",6.1,10.5,2.3,4.7,30,,Former Yugoslavia,Retains 76% alpha acid after 6 months storage at 20ºC (68ºF),0.6,1.4,67,,13,,5,,0.6,,,,,,"Northern Brewer, Goldings",,,Noble aroma characteristics,"The result of a cross between Northern Brewer and a Golding-derived male variety, Vojvodina is a hop with mild bittering properties, a woody aroma and notes of cedar and tobacco. It has some of the noble aroma characteristics of Northern Brewer, but is more intense and perhaps a little more rounded."
,Melba,"Bittering, Aroma",7,10,2.5,5,25,35,Australia,,2.0,4.,,,,,,,,,,,,,Galaxy,,,"Clean spicy bitterness, aromas of passionfruit, grapefruit and citrus.","Bred by Ellerslie Hop Estate, Melba or “The Dame of Hops” as it is affectionately known, is a dual-use variety with high oil content and similarities to Galaxy. When used as an early addition, it is said to impart a clean and somewhat spicy bitterness. When used as an flavor or aroma addition though, properties of passionfruit, grapefruit and citrus come to the fore."
,Northdown,"Bittering, Aroma",7,10,4,5.5,24,32,UK,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.2,2.5,23,29,37,45,13,17,0,1,,,,,"Challenger, Admiral",Blonde Ale,,"Fresh, flowery, piney, berry and spice",Northdown was developed at Wye College in England in the early 1970’s and was initially bred primarily for its resistance to downy mildew. It is the offspring of Northern Brewer and Challenger and an aunt to Target.
,Ahil,Aroma,10,12,4,5,25,,Slovenia,Retains 46% alpha acid after 6 months storage at 20ºC (68ºF),1.8,2.2,61.1,,7.6,,4.3,,10.4,,,,,,,Belgian Ale,,,"Ahil hops are somewhat hard to come by with its cultivation in Slovenia having been severely reduced. There has also been some confusion over its true classification. It was introduced as a Superstyrian hop in 1972 care of hop breeder, Dr Tone Wagner at the Hop Research Institute in Zalec. In actuality though, it is not a Superstyrian, it’s a hybrid, a cross between Brewer’s Gold and a wild male and was only intended to be Superstyrian-like in style."
,Fuggle H,Aroma,4.1,7.7,2.1,3.9,26,,,Retains 73% alpha acid after 6 months storage at 20ºC (68ºF),0.41,1.89,47,,24,,8.1,,4.1,,,,,,,"Stout, English Pale Ale, Belgian India Pale Ale, Extra Special Bitter, Brown Ale, Red Ale",,Robust woody and fruity aroma,"Fuggle H is one of several Fuggle hybrids. Selected in 1961 at Corvallis, Oregon, from the original Fuggle, it carries the same alpha acids content as Fuggle (US) and is known to bear a robust woody and fruity aroma. With the announcement in 1997 that Anheiser Beusch was phasing out Fuggle, production in the US has declined."
,Phoenix,"Bittering, Aroma",8.5,13.5,3.3,5.5,24,33,UK,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),1.2,3,24,32,25,32,8,11,1,1.4,,,,,"Northdown, Challenger, East Kent Golding","India Pale Ale, Bitter, Golden Ale, Triple India Pale Ale, English Ale, Extra Special Bitter, Stout, Brown Ale",,"Aromas of spice, pine, chocolate and molasses","Despite its low yield, Phoenix has a lovely aroma and flavor and seems destined to become a favorite among craft brewers. It was first grown at Wye College in England in an effort to find a more disease resistant replacement for Challenger hops. Phoenix was selected as a seedling of Yeoman."
,Cluster (AUS),"Bittering, Aroma",5.5,8.5,4.5,5.5,36,42,Australia,Retains 80-85% alpha acid after 6 months storage at 20ºC (68ºF),0.4,,45,55,15,18,6,7,1,,,,,,"Northern Brewer, Galena","Lager, Stout, Ale",Australian Cluster,"Strongly resinous, herbal character","Though its official lineage is vague, Australian Cluster is a dual-use hop thought to be of Dutch, English and/or American ancestry. Australian Cluster, grown by HPA is strongly resinous but yields a balanced bitterness with a notable herbal character. Australian’s, particularly those in Queensland, might recognize Australian-grown Cluster as the aroma variety in XXXX Bitter."
,Palisade®,Aroma,5.5,9.5,6,8,24,29,US,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.4,1.6,9,10,19,22,16,18,0,1,,,,,"Styrian Golding, Willamette, Glacier, Chinook","Golden Ale, Pale Ale, English Ales, American Pale Ale",,"Flavors of nectar fruits and citrus, aromas that are floral, herbaceous and grassy","For brewers, Palisade® hops, bred by Yakima Chief Ranch feature complex floral, herbal and grassy aromas in addition to flavors of nectar fruits and citrus. For growers, it exhibits nothing short of incredible yield potential – at least in its native Yakima Valley, Washington environment. Palisade is an open pollination cross from Swiss Tettnanger."
,Kitamidori,Bittering,9,12,5,6,22,,Japan,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),1.35,,34,,31,,8,10,6,7,,,,,"Kirin II, Saaz, Toyomidori, Eastern Gold",,,,"Developed by the Kirin Brewery Company in Tokyo, Japan, Kitamidori is no longer grown commercially there or anywhere else. It was bred alongside Toyomidori and Eastern Gold as a potential super alpha replacement for Kirin II, which was itself a replacement for Shinshuwase hops. It sports an oil composition with remarkable similarities to Saaz."
,Sovereign,Bittering,4.5,6.5,2.1,3.1,26,30,UK,,0.6,,25,30,21,26,7.9,8.1,3.5,3.7,,,,,,"American Lager, American Pale Ale",,"Complex aroma, subtle notes of green-tea and vanilla","The granddaughter of Pioneer, Sovereign is an English variety bred at Wye College in the mid-1990s. Released in 2006, Sovereign is gaining respect for its complex and delicate aroma profile."
,Elsaesser,Aroma,4.65,,5.78,,20,30,France,Retains 63% alpha acid after 6 months storage at 20ºC (68ºF),0.28,1.13,38,,32,,11.6,11.7,1.7,,,,,,,,Elsasser,European noble aroma,"The Elsaesser’s commercial production is confined to very limited acreage in the Alsace region of France. It most likely originated from an old land race in the same area. Elsaesser has an aroma akin to that of noble European varieties. Charlemagne’s father, Peppin the Younger, was said to have had a hops garden in the 7th century. Even though the use of hops in beer isn’t recorded until the 9th century, perhaps todays Elsaesser hops are a descendant of the same variety that graced that very garden."
,Saaz,Aroma,2.5,4.5,4,6,23,28,Czechia,Retains 45%-55% alpha acid after 6 months storage at 20ºC (68ºF),0.4,0.8,25,40,15,30,6,9,14,20,,,,,"Saaz (US), Sterling, Lubelska-Pulawy, Moteuka, Centennial, Amarillo®","Lager, Pilsner","Czech Saaz, Saazer, Czech Saazer","Noble, herbal character","Officially registered in 1952, the original Saaz, or Czech Saaz as it is sometimes known, has established itself as a staple variety for brewers and dates back more than 700 years. Originating in Zatec, Bohemia (now part of the Czech Republic) it is an esteemed red-bine variety that is now grown around the world. New Zealand in particular has embraced Saaz, breeding several descendants including the popular Motueka and Riwaka varieties (B & D Saaz, respectively)."
,Toyomidori,Bittering,11,13,5,6,40,,Japan,Retains 63% alpha acid after 6 months storage at 20ºC (68ºF),1.06,,59,,9,12,4,5,,,,,,,,,,,"Produced in Japan for Kirin Brewery Co in 1981 and released in 1990, Toyomidori has since been largely discontinued due to problems with downy mildew. It was developed alongside Kitamidori and Eastern Gold as a high alpha variety but was the least successful of the three in this respect."
,Defender,Aroma,3.3,6,1.1,2.5,27,,UK,Retains 59% alpha acid after 6 months storage at 20ºC (68ºF),0.5,,31,,35,,14,,3.7,,,,,,Density,,,"Pleasant, European-style aroma","Defender has an interesting heritage. Bred from a New Mexico Wild American female, Eastwell Golding and other English hops, it was selected in the early 1960’s by Dr R. A. Neve at Wye College in England. Despite its significant humulene and farnesene content, Defender’s very low alpha percentage and low yield potential has significantly hindered its commercial viability. It may show promise in breeding though with a high alpha to beta ratio. It is said to impart a pleasant, European-style aroma."
,Eastern Green,Aroma,5.15,,1.9,2,25.50,,Japan,Retains 83% alpha acid after 6 months storage at 20ºC (68ºF),0.45,,25,,25,,8,,4.9,5,,,,,,,,Pleasant continental-style aroma,"Eastern Green is an aroma variety developed and tested in the 1980’s by the Kirin Brewery Co. Ltd. Hop Research Center in Iwate, Japan. It was conceived via an open pollination cross with named parent varietal, Toyomidori. In addition to its high vigor and yield, it is said to have desirable continental-style aroma traits."
,Aurora,"Bittering, Aroma",7,12,2.7,5,22,26,Slovenia,Retains 70%-75% alpha acid after 6 months storage at 20ºC (68ºF),0.9,1.8,51,,17,25,5,9,5,10,,,,,"Styrian Golding, Northern Brewer","American Pale Ale, Dark Lager",Super Styrian,Spicy,"Diploid hybrid Aurora is the one Super Styrian still enjoying global commercial availability. In fact, it is quite a celebrated hop and one of two distinct varieties prominently produced in Slovenia. Developed as a seedling of Northern Brewer, Aurora’s aroma derives from its lovely balance of essential oils."
,Horizon,"Bittering, Aroma",8.8,16.5,5.5,8.5,16,22,US,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),0.5,2,45,70,8,20,8,14,3,5,,,,,Magnum,"Light Ale, Red Ale, Pumpkin Ale",,"Floral, citrusy","Horizon is a versatile hop with some star qualities. Created in Oregon in 1970, Horizon is a diploid hop and half-sister to Nugget."
,Pilgrim,"Bittering, Aroma",9,13,4.2,5.2,36,38,UK,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.8,1.8,36,36,17,,7,,0.3,,,,,,"Target, Pioneer, Challenger","English Pale Ale, India Pale Ale, Wheat Beer, Stout, Barley Wine, Imperial Stout",,"Rounded bitterness, grassy herbs, pears, and spice","Pilgrim’s siblings, First Gold and Herald are both dwarf hop varieties, Pilgrim however is not. A cultivar of Wye College, England, Pilgram displays first-rate bittering qualities in addition to favorable aroma and flavor characteristics. It was released in the year 2000."
,Tettnanger (US),"Bittering, Aroma",4,5,3,4.5,20,25,US,Retains 55%-60% alpha acid after 6 months storage at 20ºC (68ºF),0.4,0.8,3,45,18,23,6,7,5,8,,,,,"Spalter Select, Santiam, Czech Saaz, Spalt","Bitter, Blonde Ale, Red Ale, Pilsner, Lager, American Lager","US Tettnanger, American Tettnanger",,"This variety has created so much industry confusion. In fact, you can still find sites online that describe American Tettnanger as a true Tettnanger. In reality, it is a clone of rhizomes imported as Swiss Tettnanger."
,Ultra,Aroma,3,5,3.6,5,25,35,US,Retains 60%-65% alpha acid after 6 months storage at 20ºC (68ºF),0.8,1.2,25,35,30,40,10,15,0,1,,,,,"Tettnanger (GR), Saaz, Hallertauer Tradition, Liberty","Oktoberfest, Blonde Ale, Harvest Ale, Lager, Pilsner, Pale Ale, American Lager, Bock",,Midly spicy aroma and flavor,"Ultra hops have traditionally only been grown only in the United States and even then in somewhat limited qualities. They were developed in Oregon in 1983, released commercially in 1995 and are a triploid variety rich in humulene, giving them a mildly spicy aroma and flavor."
,Nelson Sauvin,"Bittering, Aroma",12,13,6,8,24,,New Zealand,,1.,,22,,36.4,,10.7,,10.7,,,,,,"Pacific Jade, Pacifica","American Pale Ale, India Pale Ale, Pale Ale",,"Smooth bittering, rich, fruity, gooseberry and white-wine flavors","Nelson Sauvin’s name is derived from the Sauvignon Blanc wine grape to which many agree has similar flavor and aroma characteristics. Developed in New Zealand and released in 2000, it is considered too wild for many major brewers. Despite this, Nelson Sauvin has found significant use among craft breweries and home brewers for its eccentric characteristics."
