ID,style,name,Original Gravity (°Plato) ,,Original Gravity (°Plato) ,,Alcohol by Weight (Volume) ,,Bitterness (IBU),,Color SRM (EBC),,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes
11,All Origin Hybrid/Mixed Lagers or Ale,Pumpkin Spice Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-9.5% (2.5%-12.0%), ,Bitterness (IBU) 5-35, ,Color SRM (EBC) 5-50(10-100 EBC),, Can vary from pale to very dark depending on the underlying style, Clear to hazy is acceptable, Can vary from low to medium-high depending on the underlying style," None to medium and should not overpower spice, pumpkin or squash, if present, or overall balance of aromas and flavors.", Low to medium-low, Typical of underlying beer style, Varies with underlying style," These are any beers using pumpkins (Cucurbita pepo) or winter squash as an adjunct in either the mash, kettle, primary or secondary fermentation. Pumpkin or squash may not be present or may range from subtle to intense. They are spiced with other ingredients whose character should be present and in balance. While cinnamon, allspice, clove and nutmeg are common spices added to American-type pumpkin beers, other spices may be used. For example, a brewer could replicate a Wit-Pumpkin spiced beer by using orange peel and coriander."
12,All Origin Hybrid/Mixed Lagers or Ale,Pumpkin/Squash Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-9.5% (2.5%-12.0%), ,Bitterness (IBU) 5-35, ,Color SRM (EBC) 5-50(10-100 EBC),, Can range from pale to very dark depending on the underlying style, Clear to hazy is acceptable, Can vary from low to medium-high depending on the underlying style, None to medium, Low to medium-low, Typical of underlying beer style, Varies with underlying style," Pumpkin/Squash beers are any beers incorporating pumpkins (Cucurbita pepo) or winter squash as an adjunct in either the mash, kettle, primary or secondary fermentation. Pumpkin or squash aromas and flavors, ranging from subtle to intense, should be present. These beers are not spiced, but may have ﬂavors associated with other beer styles such as smoked beer, fruit beer, sour beer, etc. Spice aromas and ﬂavors should be absent. Versions exhibiting spice aromas and/or ﬂavors should be categorized as Pumpkin Spice Beers or as other spice beer or possibly as experimental beer styles."
13,All Origin Hybrid/Mixed Lagers or Ale,Chocolate or Cocoa Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Can range from pale to very dark depending on the underlying style, Clear to hazy is acceptable, Medium-low to medium-high malt sweetness balanced with cocoa ﬂavors and aromas, Hop aroma is not present to very low. Hop ﬂavor may be lower than is designated for underlying style allowing chocolate to contribute to the ﬂavor proﬁle without becoming excessively bitter., Very low to medium-low," Typical of underlying beer style. Attributes derived from chocolate or cocoa should be apparent in all such beers, ranging from subtle to intense, and in harmony with the overall flavor profile of the beer.", Varies with underlying style," Chocolate Beers are any beers incorporating dark chocolate or cocoa in any form. Beers made with white chocolate do not typify this category; however, beers which exhibit attributes typical of white chocolate could be categorized as chocolate beer."
14,All Origin Hybrid/Mixed Lagers or Ale,Coffee Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Pale to black depending on the underlying style, Clear to hazy is acceptable, Medium-low to medium malt sweetness provides balance with coffee ﬂavor and aroma, Low to high depending on the underlying style, Varies with underlying style, Typical of underlying style, Reﬂective of the underlying beer style," Coffee beers incorporate coffee in any form. Coffee character should be apparent as the defining attribute of this category, ranging from subtle to intense, and should be in harmony with other attributes of the underlying beer. Other flavors arising from the use of flavored coffee may also be present."
15,All Origin Hybrid/Mixed Lagers or Ale,Chili Pepper Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-10.5% (2.5%-13.3%), ,Bitterness (IBU) 5-70, ,Color SRM (EBC) 5-50(10-100 EBC),, Can range from pale to very dark depending on the underlying style, Clear or hazy is acceptable, Can vary from very low to medium-high depending on the underlying style, Very low to very high, Very low to medium-high," Chili pepper aroma and ﬂavor attributes should be harmonious with the underlying beer style. Chili pepper character may be expressed as vegetal, spicy and/or hot on the palate.", Representative of underlying style," Chili Beers are any beers using chili peppers for ﬂavor, aroma and/or heat. Chili character can range from subtle to intense. Chili pepper aroma may or may not be present. Within the framework of these guidelines, all beers containing chili peppers should be categorized as Chili Beers. Beers made with chili peppers which represent more than one style, such as chili beers with chocolate, should be categorized as Chili Beers."
16,All Origin Hybrid/Mixed Lagers or Ale,Herb and Spice Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-9.5% (2.5%-12.0%), ,Bitterness (IBU) 5-40, ,Color SRM (EBC) 5-50(10-100 EBC),, Varies depending on underlying style, Clear to hazy is acceptable, Varies depending on intention of brewer, Not essential but may be present and may be more assertive than herb-spice character, Very low to medium-low. Reduced hop bitterness tends to accentuate herb/spice character., Aromas and ﬂavors of individual spices may not always be identiﬁable, Varies with underlying style," Herb and Spice beers are any beers using herbs or spices derived from roots, seeds, fruits, vegetables, ﬂowers, etc. Herb and/or spice character can range from subtle to intense. Classifying these beers can be complex. Beers which exhibit herbal and/or spicy character are considered Herb and Spice Beers. Beers brewed with chili peppers are categorized as Chili Pepper Beers. Beers brewed with pumpkin in which herb and spice character dominates should be categorized as Pumpkin Spice Beers."
17,All Origin Hybrid/Mixed Lagers or Ale,Specialty Beer,Original Gravity (°Plato) 1.030-1.140+ (7.6-32.1+ °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030+ (1.5-7.6+ °Plato), ,Alcohol by Weight (Volume) 2.0%-20+% (2.5%-25+%), ,Bitterness (IBU) 1-100, ,Color SRM (EBC) 1-100(2-200 EBC),, Very light to black depending on the underlying style, Clear to hazy is acceptable, Varies depending on intention of brewer, Very low to very high, Very low to very high," Specialty Beers are brewed with atypical fermentable sugars, grains and/or starches which contribute to alcohol content. The distinctive attributes of these special ingredients should be present in the aroma, ﬂavor and overall balance of the beer. Examples could include maple syrup, agave, potatoes, wild rice or any other sources of carbohydrate not commonly used in modern beer styles. Beers containing wheat are categorized in one of several wheat beer styles. The use of rice or corn would not normally be considered unusual since these adjuncts are commonly used in beer production. However, beers made with rice or corn varieties which imbue highly distinctive flavor attributes might be categorized as Specialty Beers.", Varies with underlying style," Classifying these beers can be complex. Within the framework of these guidelines, nuts generally impart much more ﬂavor than fermentables, and beers containing nuts are categorized as Field Beers. Likewise, within the framework of these guidelines, coconut is deﬁned as a vegetable and beers containing coconut are categorized as Field Beers. Beers brewed with honey are categorized as Specialty Honey Beers. Beers brewed with roots, seeds, ﬂowers etc. which exhibit herbal and/or spicy characters are categorized as Herb and Spice Beers. While beers brewed with fruits or vegetables may derive fermentable carbohydrate from those sources, they are most appropriately categorized within various Fruit Beer or Field Beer categories. Spiced or fruited versions of beers made with unusual fermentables are categorized as Experimental Beers as they represent a combination of multiple categories."
18,All Origin Hybrid/Mixed Lagers or Ale,Specialty Honey Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-9.5% (2.5%-12.0%), ,Bitterness (IBU) 1-100, ,Color SRM (EBC) 1-100(2-200 EBC),, Very light to black depending on underlying style, Clear to hazy is acceptable, Varies depending on intention of brewer, Very low to very high, Very low to very high, Honey Beers may be brewed to a traditional style or may be experimental. Honey Beers incorporate honey as a fermentable sugar in addition to malted barley. Honey character should be present in aroma and ﬂavor but should not be overpowering., Varies with underlying style,
19,All Origin Hybrid/Mixed Lagers or Ale,Rye Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,," A wide range of color is acceptable. Lighter versions are straw to copper, while darker versions are dark amber to dark brown."," Chill haze is acceptable in versions packaged and served without yeast. In versions served with yeast, appearance may range from hazy to very cloudy."," In darker versions, malt aromas and ﬂavors can optionally include low roasted malt character expressed as cocoa/chocolate or caramel. Aromatic toffee, caramel, or biscuit character may also be present. Low level roastiness, graininess, or tannin astringency is acceptable when balanced with low to medium malt sweetness.", Low to medium-high, Low to medium, Low levels of spicy and fruity ester aromas are typical. Yeast-derived aroma and flavor attributes such as clove-like or other phenolics may be present when consistent with underlying beer style. These beers can be fermented with either ale or lager yeast. Diacetyl should not be present. Low to medium yeast aroma may be present in versions packaged with yeast., Low to medium. Rye can impart textural qualities ranging from dry and crisp to smooth and velvety., The grist should include sufﬁcient rye so that rye character is evident in the beer. Rye character is often described as spicy and/or black pepper-like and/or earthy. Beers brewed with rye that do not exhibit rye character should be categorized in other beer styles. Versions served with yeast should possess a full yeasty mouthfeel.
20,All Origin Hybrid/Mixed Lagers or Ale,Brett Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Any color is acceptable. Beer color may be influenced by the color of added fruits or other ingredients., Chill haze and/or haze from yeast is allowable at low to medium levels at any temperature," In darker versions, roasted malt, caramel and chocolate aromas and ﬂavors are present at low levels.", Low to high, Low to high," Medium to high fruity esters are present. Acidity resulting from Brettanomyces fermentation results in a complex flavor profile. Brettanomyces character, at low to high levels, should be present and expressed as horsey, goaty, leathery, phenolic, fruity and/or acidic aromas and flavors. Brettanomyces character may or may not be dominant. Acidity from Brettanomyces should be low to medium-low. Cultured yeast strains may be used in the fermentation. Beers fermented with Brettanomyces that do not exhibit attributes typical of Brettanomyces fermentation are categorized elsewhere. Beers in this style should not incorporate bacteria or exhibit a bacteria-derived flavor profile. Diacetyl and DMS should not be present.", Low to high," Fruited versions will exhibit fruit ﬂavors in balance with other elements. Wood vessels may be used for fermentation and aging, but wood- derived ﬂavors and aromas such as vanillin should not be present. Residual ﬂavors and aromas originating from liquids previously aged in a barrel (bourbon, sherry, etc.) should not be present. Versions exhibiting attributes derived from wood or liquids previously aged in wood are categorized in Wood-Aged Beer categories. Sour wood- and barrel-aged versions are categorized in Wood-Aged Sour Beer categories. Entries exhibiting additional sensory attributes characteristic arising from microbes other than Brett are categorized as Mixed Culture Brett Beer."
21,All Origin Hybrid/Mixed Lagers or Ale,Mixed-Culture Brett Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Any color is acceptable. Beer color may be influenced by the color of added fruits or other ingredients.," Chill haze, bacteria and yeast-induced haze is allowable at low to medium levels at any temperature."," In darker versions, roasted malt, caramel and chocolate aromas and ﬂavors are present at low levels.", Low to high, Low to high," Medium to high fruity esters are present. Acidity resulting from fermentation with Brettanomyces and/or bacteria results in a complex flavor profile. Brettanomyces character should be present and expressed as horsey, goaty, leathery, phenolic, fruity and/or acidic aromas and flavors. Cultured yeast may be used in the fermentation. Bacteria should be incorporated and in evidence. Bacteria will contribute acidity which may or may not dominate the flavor profile. Diacetyl and DMS should not be present.", Low to high," Fruited versions will exhibit fruit ﬂavors in balance with other elements. Wood vessels may be used for fermentation and aging, but wood-derived aromas and ﬂavors such as vanillin should not be present. Versions exhibiting attributes derived from wood or liquids previously aged in wood are categorized in Wood-Aged Beer categories. Sour wood- and barrel-aged versions are categorized in Wood-Aged Sour Beer categories."
22,All Origin Hybrid/Mixed Lagers or Ale,Ginjo Beer or Sake-Yeast Beer,Original Gravity (°Plato) 1.040-1.090 (10-21.6 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.008-1.020 (2.1-5 °Plato), ,Alcohol by Weight (Volume) 3.4%-8.2% (4.3%-10.2%), ,Bitterness (IBU) 12-35, ,Color SRM (EBC) 4-20(8-40 EBC),, Pale to dark brown, Slight chill haze is acceptable, Very low to medium, Low to medium and in harmony with sake-like character, Low to medium and in harmony with sake-like character," These beers are brewed with sake yeast or sake (koji) enzymes. The unique byproducts of sake yeast and/or koji enzymes should be distinctive and in harmony with other elements. Sake character may best be described as having mild fruitiness and mild earthiness, with mushroom and/or an umami protein-like character. A high amount of alcohol may be evident.", Varies depending on original gravity. Mouthfeel also varies., High carbonation should be present.
23,All Origin Hybrid/Mixed Lagers or Ale,Fresh Hop Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style, Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature., Varies with underlying style," Fresh hop aroma and ﬂavor is prominent exhibiting green grass-like, fresh mown hay/grass or other fresh hop attributes.", Varies with underlying style, Fruity esters may present at levels consistent with the underlying beer style being made with fresh hops, Varies with underlying style," These ales or lagers are brewed with freshly harvested hops. Such hops might be undried fresh or frozen cones or ground material, or, freshly kilned dried cones or pellets. These beers are typically consumed while fresh to highlight bright fresh hop attributes. Aging these beers will typically modify and reduce fresh-hop characters resulting in unique flavor outcomes."
24,All Origin Hybrid/Mixed Lagers or Ale,Wood- and Barrel-Aged Beer,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies with underlying style and can be influenced by the color of added fruit(s) if any, Varies with underlying style, Varies with underlying style, Varies with underlying style, Varies with underlying style, Typical of underlying style of beer being aged, Varies with underlying style," These are any traditional or experimental style of lager, ale or hybrid beer aged in either a wooden barrel or in contact with wood. These beers are aged with the intention of developing unique attributes imparted by the wood and/or liquids that had previously been stored in contact with the wood. Wood aging does not necessarily impart wood ﬂavors, but does result in distinctive sensory outcomes. Used sherry, rum, whiskey, tequila, port, wine and other barrels are often used, imparting complexity and uniqueness to a beer. A balance of ﬂavor, aroma and mouthfeel results from the marriage of new beer with attributes imparted by the wood or barrel. Wood-Aged Beers may or may not have Brettanomyces character."
